Produttore,Vino,Media Grezza,Media Pesata,Prezzo,2020,2019,2018,2017,2016,2015,2014
Casale Marchese,Frascati Superiore,3.3,1.0,5-9,4,3,3,sv,3,sv,sv
Casale Marchese,Frascati Superiore Quarto Marchese,3.0,0.5,10-14,3,3,3,sv,sv,sv,sv
Casale Vallechiesa,Frascati Superiore Heredio,2.5,0.2,15-19,3,2,sv,sv,sv,sv,sv
Castel De Paolis,Frascati Superiore,4.0,3.2,15-19,5,5,sv,sv,3,3,sv
De Sanctis,Frascati Superiore Abelos,4.0,4.8,15-19,5,5,5,3,3,3,sv
De Sanctis,Frascati Superiore Riserva Amacos,3.0,0.5,20-24,sv,sv,3,sv,3,3,sv
Fontana Candida,Frascati Superiore Riserva Luna Mater,4.4,4.4,15-19,5,5,sv,4,4,4,sv
Fontana Candida,Frascati Superiore Vigneto Santa Teresa,2.6,0.6,5-9,3,2,2,sv,3,3,sv
L'Olivella,Frascati Superiore Racemo Biowine,2.5,0.4,5-9,3,2,3,2,sv,sv,sv
Gabriele Magno,Frascati Superiore Riserva Vigneto La Torretta Di Valle Marciana,3.7,1.1,20-24,sv,4,4,3,sv,sv,sv
Gabriele Magno,Frascati Superiore,3.3,0.8,10-14,sv,3,4,3,sv,sv,sv
Merumalia,Frascati Superiore Riserva Primo,4.4,5.0,20-24,5,5,5,3,sv,4,sv
Merumalia,Frascati Superiore Primo,3.2,1.3,15-19,3,3,3,3,4,3,sv
Villa Simone,Frascati Superiore Riserva Vigneto Filonardi,3.0,0.7,15-19,sv,3,3,3,3,sv,sv
Villa Simone,Frascati Superiore Villa Dei Preti,2.5,0.4,5-9,3,3,2,sv,2,sv,sv
Casata Mergè,Frascati Superiore 1960,2.5,0.2,10-14,sv,3,2,sv,sv,sv,sv
Casata Mergè,Frascati Superiore Riserva Sesto 21,3.0,0.5,15-19,sv,sv,3,3,3,sv,sv
Cantine San Marco,Frascati Superiore De Notari Crio 12 Biologico,2.5,0.2,5-9,sv,3,2,sv,sv,sv,sv
Cantine San Marco,Frascati Superiore De Notari,3.0,0.2,5-9,sv,sv,3,sv,sv,sv,sv
Valle Vermiglia,Frascati Superiore Eremo Tuscolano,3.8,2.1,10-14,sv,3,4,4,sv,4,4
Poggio Le Volpi,Frascati Superiore Riserva Epos,3.0,0.5,10-14,sv,sv,3,3,3,sv,sv
Terre Dei Pallavicini,Frascati Superiore Poggio Verde,3.0,0.7,5-9,sv,sv,3,3,3,3,sv
Tenuta Di Pietra Porzia,Frascati Superiore Gold Label,3.0,0.2,15-19,sv,sv,sv,3,sv,sv,sv
Casale Mattia,Frascati Superiore Terre Del Casale,2.0,0.1,5-9,sv,sv,sv,sv,2,sv,sv
Casale Mattia,Frascati Superiore Linea Storica,2.0,0.1,5-9,sv,sv,sv,sv,sv,2,sv
