Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011,2010
Cantina Menegola,Sforzato Di Valtellina Pergiulio,3.0,55-59,15,11,sv,sv,3,3,sv,3,3,3,sv
Mamete Prevostini,Sforzato Di Valtellina Albareda,4.0,50-54,27,21,4,sv,4,4,sv,sv,sv,sv,sv
Nera,Sforzato Di Valtellina,3.4,45-49,28,23,sv,sv,4,3,sv,3,sv,4,3
Nino Negri,Sforzato Di Valtellina Sfursat 5 Stelle,4.5,65-69,73,43,5,5,4,4,sv,sv,sv,sv,sv
Nino Negri,Sforzato Di Valtellina Sfursat Carlo Negri,4.6,45-49,100,83,4,4,5,5,sv,5,sv,sv,sv
Plozza,Sforzato Di Valtellina Blackedition,3.6,25-29,34,49,sv,sv,4,4,4,3,3,sv,sv
Rupi Del Nebbiolo,Sforzato Di Valtellina,4.0,25-29,18,27,sv,4,4,sv,sv,sv,sv,sv,sv
Triacca,Sforzato Di Valtellina Il Monastero,3.8,35-39,43,45,sv,5,3,4,3,sv,sv,sv,sv
Bettini,Sfursat Di Valtellina,3.7,40-44,21,20,sv,4,sv,4,3,sv,sv,sv,sv
Aldo Rainoldi,Sfursat Di Valtellina,3.0,30-34,6,8,3,sv,sv,3,sv,sv,sv,sv,sv
La Grazia,Sforzato Di Valtellina Fiori Di Sparta,4.0,35-39,9,10,sv,sv,4,sv,sv,sv,sv,sv,sv
Contadi Gasparotti,Sforzato Di Valtellina Genio,3.0,30-34,9,11,sv,sv,3,3,sv,3,sv,sv,sv
Nobili,Sforzato Di Valtellina Il Montescale,3.8,30-34,64,78,sv,sv,sv,3,sv,5,3,5,3
Tenuta Scerscè,Sforzato Di Valtellina Infinito,3.0,35-39,9,10,sv,3,3,sv,sv,3,sv,sv,sv
Caven,Sforzato Di Valtellina Messere,3.5,50-54,37,27,sv,sv,sv,5,sv,3,sv,3,3
La Perla,Sforzato Di Valtellina Quattro Soli,3.5,40-44,24,23,sv,sv,sv,3,3,4,sv,4,sv
Triacca,Sforzato Di Valtellina San Domenico,4.3,30-34,67,82,sv,sv,5,3,sv,4,5,sv,sv
Rivetti E Lauro,Sforzato Di Valtellina Dell'Orco,3.7,35-39,33,35,sv,sv,sv,3,3,5,sv,sv,sv
Aldo Rainoldi,Sfursat Di Valtellina Ca Rizzieri,4.8,45-49,91,76,sv,5,4,5,sv,5,sv,sv,sv
Mamete Prevostini,Sforzato Di Valtellina Corte Di Cama,5.0,30-34,82,100,sv,sv,5,5,5,sv,sv,sv,sv
Bettini,Sforzato Di Valtellina Fruttaio Di Spina,3.0,30-34,9,11,sv,sv,sv,3,sv,sv,sv,3,3
Fay,Sforzato Di Valtellina Ronco Del Picchio,4.3,45-49,46,38,sv,sv,4,sv,4,5,sv,sv,sv
Alberto Marsetti,Sforzato Di Valtellina,3.5,30-34,12,15,sv,sv,sv,sv,4,3,sv,sv,sv
Assoviuno,Sforzato Di Valtellina San Bello,4.5,40-44,36,34,sv,sv,sv,5,sv,sv,4,sv,sv
