Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011
Orlando Abrigo,Barbaresco Meruzzano,3.3,25-29,19,35,4,4,3,3,3,3,sv,sv
Orlando Abrigo,Barbaresco Montersino,3.0,45-49,9,10,sv,3,3,3,3,3,sv,sv
Orlando Abrigo,Barbaresco Riserva Rongalio,3.5,55-59,22,20,sv,sv,3,3,4,4,3,4
Orlando Abrigo,Barbaresco Riserva Rongalio Tempo,4.0,50-54,6,5,sv,sv,4,sv,sv,sv,sv,sv
Marco E Vittorio Adriano,Barbaresco Riserva Basarin,4.2,40-44,46,55,sv,sv,4,5,sv,4,3,5
Marco E Vittorio Adriano,Barbaresco Basarin,3.2,30-34,15,23,3,3,3,4,3,3,sv,sv
Marco E Vittorio Adriano,Barbaresco Sanadaive,2.8,25-29,10,19,3,3,3,3,2,3,sv,sv
Barale,Barbaresco Serraboella,3.8,35-39,19,25,4,sv,3,4,sv,4,sv,sv
Batasiolo,Barbaresco,2.7,25-29,4,8,sv,2,3,3,sv,sv,sv,sv
Bel Colle,Barbaresco Pajorè,3.2,35-39,13,18,3,4,3,3,sv,3,sv,sv
Bera,Barbaresco Serraboella,3.5,35-39,7,10,4,sv,sv,sv,sv,3,sv,sv
Bera,Barbaresco,2.7,25-29,9,16,3,2,3,3,sv,3,2,sv
Bera,Barbaresco Rabajà Riserva,4.0,40-44,24,29,sv,sv,sv,3,sv,sv,5,4
Bera,Barbaresco Basarin Riserva,3.3,40-44,9,11,sv,sv,sv,sv,sv,4,3,3
Bera,Barbaresco Serraboella Riserva,3.0,35-39,2,3,sv,sv,sv,3,sv,sv,sv,sv
Piero Busso,Barbaresco San Stunet,4.0,45-49,30,32,sv,5,4,4,3,sv,sv,sv
Piero Busso,Barbaresco Albesani Vigna Borgese,5.0,50-54,67,64,sv,5,5,5,5,sv,sv,sv
Piero Busso,Barbaresco Gallina,3.5,60-64,15,12,sv,4,3,4,3,sv,sv,sv
Piero Busso,Barbaresco Mondino,3.0,35-39,4,5,sv,3,sv,3,sv,sv,sv,sv
Piero Busso,Barbaresco Albesani Riserva Viti Vecchie,3.0,100-124,2,1,sv,sv,sv,sv,sv,sv,3,sv
