Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Ada Nada,Barbaresco Rombone Elisa,3.0,25-29,6,10,sv,3,3,3,sv,sv,sv,sv,sv,sv
Ada Nada,Barbaresco Valeirano,3.0,20-24,8,17,sv,3,3,3,3,sv,sv,sv,sv,sv
Ada Nada,Barbaresco Rombone Riserva Cichin,3.0,45-49,6,6,sv,sv,sv,3,sv,3,3,sv,sv,sv
Albino Rocca,Barbaresco Angelo,4.0,75-79,43,27,sv,5,5,3,4,3,sv,sv,sv,sv
Albino Rocca,Barbaresco Ovello Vigna Loreto,3.5,45-49,22,24,4,4,4,3,3,3,sv,sv,sv,sv
Albino Rocca,Barbaresco Cottà,3.8,45-49,26,27,4,3,3,5,sv,sv,sv,sv,sv,sv
Albino Rocca,Barbaresco Montersino,3.5,45-49,30,31,4,3,3,3,3,5,sv,sv,sv,sv
Albino Rocca,Barbaresco Ronchi,4.0,45-49,43,45,3,sv,3,5,4,5,sv,sv,sv,sv
Barale,Barbaresco Serraboella,3.8,35-39,19,25,4,sv,3,4,sv,4,sv,sv,sv,sv
Batasiolo,Barbaresco,2.7,25-29,4,8,sv,2,3,3,sv,sv,sv,sv,sv,sv
Bel Colle,Barbaresco Pajorè,3.2,35-39,13,18,3,4,3,3,sv,3,sv,sv,sv,sv
Bera,Barbaresco Serraboella,3.5,35-39,7,10,4,sv,sv,sv,sv,3,sv,sv,sv,sv
Bera,Barbaresco,2.7,25-29,9,16,3,2,3,3,sv,3,2,sv,sv,sv
Bera,Barbaresco Rabajà Riserva,4.0,40-44,24,28,sv,sv,sv,3,sv,sv,5,4,sv,sv
Bera,Barbaresco Basarin Riserva,3.3,40-44,11,13,sv,sv,sv,sv,sv,4,3,3,sv,3
Bera,Barbaresco Serraboella Riserva,3.0,35-39,2,3,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Bruno Giacosa,Barbaresco Asili Riserva,5.0,400-449,50,6,sv,sv,5,sv,5,sv,sv,5,sv,sv
Bruno Giacosa,Barbaresco Rabajà,4.4,200-249,57,13,sv,5,3,5,4,5,sv,sv,sv,sv
Bruno Giacosa,Barbaresco Asili,4.5,150-174,22,7,sv,4,sv,5,sv,sv,sv,sv,sv,sv
Bruno Rocca Rabajà,Barbaresco Currà Riserva,4.3,125-149,41,15,sv,sv,sv,5,3,4,5,sv,sv,sv
Bruno Rocca Rabajà,Barbaresco Rabajà Riserva,4.3,125-149,28,10,sv,sv,sv,4,4,5,sv,sv,sv,sv
Bruno Rocca Rabajà,Barbaresco,3.3,40-44,11,13,4,sv,sv,3,3,3,sv,sv,sv,sv
Bruno Rocca Rabajà,Barbaresco Rabajà,3.6,75-79,28,18,sv,sv,5,3,4,3,3,sv,sv,sv
Bruno Rocca Rabajà,Barbaresco Maria Adelaide,3.0,100-124,2,1,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Bruno Rocca Rabajà,Barbaresco Currà,3.0,75-79,4,2,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Bruno Rocca Rabajà,Barbaresco Coparossa,3.0,45-49,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Ca Del Baio,Barbaresco Pora,4.2,50-54,39,37,sv,5,4,4,sv,4,4,sv,sv,sv
Ca Del Baio,Barbaresco Asili,4.5,35-39,74,99,5,5,5,3,5,4,sv,sv,sv,sv
Ca Del Baio,Barbaresco Asili Riserva,3.8,75-79,32,20,sv,sv,4,4,sv,5,3,3,sv,sv
Ca Del Baio,Barbaresco Vallegrande,3.0,25-29,11,21,3,3,3,3,3,3,sv,sv,sv,sv
Ca Del Baio,Barbaresco Autinbej,3.0,20-24,9,21,3,3,3,3,3,sv,sv,sv,sv,sv
Ca Del Baio,Barbaresco Marcarini,3.0,25-29,2,3,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Cantina Del Pino,Barbaresco Ovello,3.3,50-54,19,18,sv,4,3,3,3,4,3,sv,sv,sv
Cantina Del Pino,Barbaresco Albesani,3.2,50-54,15,14,sv,3,3,4,3,3,3,sv,sv,sv
Cantina Del Pino,Barbaresco,3.0,35-39,11,15,sv,3,3,3,3,3,3,sv,sv,sv
Cantina Del Pino,Barbaresco Gallina,5.0,50-54,17,16,sv,sv,sv,sv,5,sv,sv,sv,sv,sv
Carlo Giacosa,Barbaresco Asili,5.0,80-84,17,10,5,sv,sv,sv,sv,sv,sv,sv,sv,sv
Carlo Giacosa,Barbaresco Montefico,4.5,45-49,74,78,4,5,5,5,5,3,sv,sv,sv,sv
Carlo Giacosa,Barbaresco Riserva Luca,3.5,60-64,15,12,sv,sv,4,4,3,sv,sv,3,sv,sv
Carlo Giacosa,Barbaresco Ovello,4.0,40-44,6,7,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Carlo Giacosa,Barbaresco Narin,3.0,25-29,8,14,sv,sv,3,3,3,3,sv,sv,sv,sv
Cascina Morassino,Barbaresco Ovello,4.2,45-49,59,62,5,5,5,3,4,3,sv,sv,sv,sv
Cascina Morassino,Barbaresco Morassino,3.0,30-34,11,17,3,3,3,3,3,3,sv,sv,sv,sv
Castello Di Neive,Barbaresco Albesani Riserva Santo Stefano,5.0,55-59,83,72,sv,sv,5,5,sv,5,5,5,sv,sv
Castello Di Neive,Barbaresco Albesani Santo Stefano,3.5,40-44,30,35,3,3,5,3,4,3,sv,sv,sv,sv
Castello Di Neive,Barbaresco,3.0,25-29,9,17,3,sv,3,3,3,3,sv,sv,sv,sv
Castello Di Neive,Barbaresco Gallina,3.3,35-39,19,25,3,3,3,4,3,4,sv,sv,sv,sv
