Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Agostino Bosco,Barolo La Serra,3.0,40-44,11,10,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Agostino Bosco,Barolo Del Comune Di La Morra,3.0,25-29,2,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Agostino Bosco,Barolo Neirane,3.0,30-34,9,11,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Alberto Voerzio,Barolo La Serra,3.3,55-59,19,12,3,3,3,3,4,4,sv,sv,sv,sv,sv,sv
Alberto Voerzio,Barolo Castagni,3.3,40-44,9,8,3,3,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Alberto Voerzio,Barolo,3.0,45-49,4,3,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Angelo Negro E Figli,Barolo Del Comune Di Serralunga,3.0,40-44,9,8,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Anna Maria Abbona,Barolo Bricco San Pietro,3.0,55-59,8,5,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Anna Maria Abbona,Barolo Del Comune Di Castiglione Falletto,3.0,40-44,11,10,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Rocche Di Castiglione,3.0,65-69,8,4,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Vignarionda,4.5,65-69,44,25,4,4,5,5,sv,sv,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Castello,3.0,45-49,8,6,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Ravera,3.0,45-49,6,5,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Monvigliero,3.8,45-49,26,21,3,5,4,3,sv,sv,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Undicicomuni,3.0,30-34,8,9,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Bussia,3.0,45-49,6,5,sv,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Arnaldo Rivera,Barolo Boiolo,3.0,45-49,4,3,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Ascheri,Barolo,3.3,35-39,11,11,4,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Ascheri,Barolo Coste Bricco,3.0,75-79,4,2,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Ascheri,Barolo Pisapola,3.0,60-64,4,2,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Ascheri,Barolo Sorano,3.0,75-79,4,2,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Ascheri,Barolo Ascheri,3.0,100-124,4,1,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Azelia,Barolo Cerretta,5.0,100-124,33,11,5,5,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Azelia,Barolo San Rocco,4.2,90-94,59,24,5,3,3,5,5,4,sv,sv,sv,sv,sv,sv
Azelia,Barolo Margheria,4.2,90-94,52,21,4,4,5,4,3,5,sv,sv,sv,sv,sv,sv
Azelia,Barolo Bricco Fiasco,3.5,90-94,22,9,4,3,4,3,4,3,sv,sv,sv,sv,sv,sv
Azelia,Barolo,3.0,35-39,11,12,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Barale,Barolo Bussia Riserva,4.8,65-69,56,31,sv,sv,sv,5,5,sv,5,4,sv,sv,sv,sv
Barale,Barolo Bussia,4.0,50-54,35,26,3,4,5,4,4,sv,sv,sv,sv,sv,sv,sv
