Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Agrintesa,Romagna Sangiovese Superiore Calanchi,3.0,5-9,3,8,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Ancarani,Romagna Sangiovese Superiore Biagio Antico,2.8,10-14,16,23,sv,3,3,2,3,3,3,sv,sv,sv
Ancarani,Romagna Sangiovese Oriolo,3.0,10-14,6,9,sv,sv,sv,sv,3,3,sv,sv,sv,sv
Balia Di Zola,Romagna Sangiovese Modigliana Riserva Redinoce,3.2,15-19,24,25,sv,sv,3,3,3,3,3,4,sv,sv
Balia Di Zola,Romagna Sangiovese Superiore Balitore,2.5,10-14,12,18,3,3,3,2,2,2,sv,sv,sv,sv
Stefano Berti,Romagna Sangiovese Predappio Riserva Calisto,4.6,15-19,97,100,sv,sv,5,sv,4,4,5,sv,5,sv
Stefano Berti,Romagna Sangiovese Predappio Ravaldo,3.0,10-14,15,22,sv,3,3,3,3,3,sv,sv,sv,sv
Stefano Berti,Romagna Sangiovese Bartimeo,2.7,5-9,7,18,sv,2,sv,3,3,sv,sv,sv,sv,sv
Stefano Berti,Romagna Sangiovese Superiore Nonà,2.5,5-9,4,10,sv,sv,2,sv,3,sv,sv,sv,sv,sv
Raffaella Bissoni,Romagna Sangiovese Superiore Riserva Bissoni,3.0,20-24,9,7,sv,sv,3,sv,3,3,sv,sv,sv,sv
Raffaella Bissoni,Romagna Sangiovese Bertinoro Girapoggio,3.0,20-24,18,14,sv,3,3,3,3,3,3,sv,sv,sv
Raffaella Bissoni,Romagna Sangiovese Bertinoro Riserva Vigna Colecchio,3.0,35-39,12,6,sv,sv,sv,sv,3,3,sv,3,3,sv
Branchini,Romagna Sangiovese Superiore Contragrande,2.7,5-9,7,18,sv,2,3,sv,sv,3,sv,sv,sv,sv
Branchini,Romagna Sangiovese Riserva Cardinala,2.7,15-19,7,7,sv,sv,sv,sv,sv,sv,sv,3,3,2
Branchini,Romagna Sangiovese Superiore Cardinala Nuova,3.7,10-14,21,30,sv,sv,sv,sv,sv,4,4,3,sv,sv
Braschi,Romagna Sangiovese Superiore Sburoun,3.0,5-9,3,8,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Braschi,Romagna Sangiovese Superiore Il Costone,2.2,10-14,7,10,sv,3,2,2,2,2,sv,sv,sv,sv
Braschi,Romagna Sangiovese Bertinoro Riserva Il Costone,2.8,15-19,10,10,sv,sv,sv,3,3,3,sv,2,sv,sv
Braschi,Romagna Sangiovese Monte Sasso,2.0,10-14,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Braschi,Romagna Sangiovese Superiore Il Gelso,2.7,10-14,7,10,sv,sv,sv,3,3,2,sv,sv,sv,sv
Braschi,Romagna Sangiovese Monte Sasso,3.0,10-14,16,23,sv,sv,sv,2,4,3,3,sv,sv,sv
Braschi,Romagna Sangiovese Riserva Monte Sasso,1.0,10-14,0,0,sv,sv,sv,1,sv,sv,sv,sv,sv,sv
Calonga,Romagna Sangiovese Superiore Il Bruno,3.0,10-14,6,9,3,sv,3,sv,sv,sv,sv,sv,sv,sv
Calonga,Romagna Sangiovese Superiore Leggiolo,2.7,10-14,7,10,sv,sv,sv,2,3,3,sv,sv,sv,sv
Calonga,Romagna Sangiovese Riserva Michelongiolo,3.7,15-19,32,33,sv,sv,sv,sv,5,3,sv,sv,3,sv
Calonga,Romagna Sangiovese Superiore Riserva 7,3.0,40-44,3,1,sv,sv,sv,sv,sv,sv,sv,sv,sv,3
Castelluccio,Romagna Sangiovese Superiore Le More,2.0,10-14,7,10,3,2,2,2,2,1,sv,sv,sv,sv
Celli,Romagna Sangiovese Superiore Le Grillaie,2.5,5-9,12,30,3,3,2,3,2,2,sv,sv,sv,sv
Celli,Romagna Sangiovese Bertinoro Riserva Bron E Bruseval,3.0,15-19,15,15,sv,sv,3,3,3,3,3,sv,sv,sv
Celli,Romagna Sangiovese Superiore Riserva Le Grillaie,2.3,5-9,10,25,sv,sv,3,3,2,2,2,2,sv,sv
Umberto Cesari,Romagna Sangiovese Riserva Laurento,2.6,10-14,11,16,sv,sv,3,sv,3,3,2,2,sv,sv
Umberto Cesari,Romagna Sangiovese Riserva,2.0,10-14,2,3,sv,sv,sv,sv,sv,sv,2,2,sv,sv
Collina,Romagna Sangiovese Superiore Rio Paglia,2.5,10-14,4,6,3,2,sv,sv,sv,sv,sv,sv,sv,sv
Colombarda,Romagna Sangiovese Superiore,2.0,10-14,1,1,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Condè,Romagna Sangiovese Predappio Riserva Raggio Brusa,4.2,60-64,74,21,sv,sv,5,4,4,3,sv,5,sv,sv
