Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2016,2015,2014,2013,2012,2011,2010,2006
Abbadia Ardegna,Brunello Riserva,4.0,55-59,1.36,27,sv,sv,sv,5,3,sv,4,sv
Abbadia Ardegna,Brunello Vigna Piaggia,3.5,40-44,0.84,23,sv,sv,4,4,3,3,sv,sv
Abbadia Ardegna,Brunello,2.8,30-34,0.36,13,sv,sv,3,3,3,2,sv,sv
Agostina Pieri,Brunello,3.7,35-39,1.47,45,4,4,4,4,3,3,sv,sv
Agostina Pieri,Brunello Riserva,3.0,40-44,0.11,03,sv,3,sv,sv,sv,sv,sv,sv
Altesino,Brunello,3.8,35-39,1.46,45,sv,4,3,sv,5,3,sv,sv
Altesino,Brunello Montosoli,3.8,70-74,1.46,23,sv,5,3,sv,4,3,sv,sv
Altesino,Brunello Riserva,4.0,80-84,0.63,09,sv,sv,sv,4,sv,sv,4,sv
Banfi,Brunello Vigna Marrucheto,5.0,60-64,0.94,17,5,sv,sv,sv,sv,sv,sv,sv
Banfi,Brunello Riserva Poggio All'Oro,4.8,125-149,3.13,26,sv,4,sv,5,5,sv,5,sv
Banfi,Brunello Riserva Poggio Alle Mura,4.4,65-69,2.82,47,sv,4,sv,5,4,5,4,sv
Banfi,Brunello Castello Banfi,2.8,30-34,0.46,16,3,3,2,3,sv,3,sv,sv
Banfi,Brunello Poggio Alle Mura,3.6,40-44,1.16,31,sv,4,4,3,4,3,sv,sv
Baricci,Brunello,5.0,50-54,3.75,81,5,5,5,5,sv,sv,sv,sv
Baricci,Brunello Riserva Nello,4.5,100-124,1.25,13,sv,5,sv,sv,4,sv,sv,sv
Beatesca,Brunello,4.0,65-69,0.31,05,4,sv,sv,sv,sv,sv,sv,sv
Bertani Toscana,Brunello Vigna Spuntali,4.3,60-64,1.57,28,5,4,sv,4,sv,sv,sv,sv
Bertani Toscana,Brunello Poggio Al Granchio,3.0,50-54,0.32,07,3,3,sv,3,sv,sv,sv,sv
Bertani Toscana,Brunello Poggio Vigna Del Lago,3.0,55-59,0.32,06,3,3,sv,3,sv,sv,sv,sv
Bertani Toscana,Brunello Val Di Suga,3.0,40-44,0.32,09,3,3,3,sv,sv,sv,sv,sv
Bertani Toscana,Brunello Riserva Val Di Suga,3.0,45-49,0.11,03,sv,sv,sv,3,sv,sv,sv,sv
Biondi-Santi,Brunello Riserva Tenuta Greppo,5.0,450-499,3.75,09,sv,sv,sv,5,5,5,5,sv
Biondi-Santi,Brunello Tenuta Greppo,5.0,150-174,3.75,26,sv,5,sv,5,5,5,sv,sv
Biondi-Santi,Brunello Riserva Storica Tenuta Greppo,4.0,300-349,0.31,01,sv,sv,sv,sv,sv,sv,sv,4
Bolsignano,Brunello,4.0,30-34,0.31,11,sv,sv,sv,sv,4,sv,sv,sv
Camigliano,Brunello Riserva Gualto,4.5,90-94,2.50,31,4,sv,sv,5,5,sv,4,sv
Camigliano,Brunello Paesaggio Inatteso,3.3,50-54,0.53,11,3,4,sv,sv,3,sv,sv,sv
Camigliano,Brunello,2.8,30-34,0.57,20,3,3,3,3,2,3,sv,sv
Canalicchio Di Sopra,Brunello Riserva,4.3,100-124,1.98,20,sv,5,sv,sv,3,sv,5,sv
Canalicchio Di Sopra,Brunello La Casaccia,3.5,100-124,0.42,04,3,4,sv,sv,sv,sv,sv,sv
Canalicchio Di Sopra,Brunello,3.2,55-59,0.74,15,3,3,sv,3,4,3,sv,sv
Cantina Di Montalcino,Brunello,3.0,30-34,0.11,04,sv,sv,sv,3,sv,sv,sv,sv
Cantina Di Montalcino,Brunello Riserva Poggio Ambrosino,4.0,60-64,0.31,06,sv,sv,sv,sv,4,sv,sv,sv
Capanna,Brunello Riserva,3.7,85-89,0.74,10,sv,4,sv,4,3,sv,sv,sv
Capanna,Brunello,3.6,40-44,1.57,42,3,3,3,sv,5,4,sv,sv
Caparzo,Brunello,3.3,30-34,0.53,19,sv,sv,sv,3,4,3,sv,sv
Caparzo,Brunello Vigna La Casa,4.3,40-44,1.98,53,sv,sv,sv,5,5,3,sv,sv
Caparzo,Brunello Riserva,3.5,45-49,0.42,10,sv,sv,sv,sv,sv,3,4,sv
Caprili,Brunello,3.5,35-39,0.42,13,sv,sv,sv,sv,3,4,sv,sv
Caprili,Brunello Riserva,3.0,75-79,0.11,02,sv,sv,sv,sv,sv,sv,3,sv
Carpineto,Brunello Riserva,4.0,75-59,0.31,05,sv,4,sv,sv,sv,sv,sv,sv
Carpineto,Brunello,2.5,40-44,0.29,08,2,3,3,2,sv,sv,sv,sv
Casanova Di Neri,Brunello Tenuta Nuova,4.3,95-99,1.88,22,sv,4,sv,4,5,4,sv,sv
Casanova Di Neri,Brunello Etichetta Bianca,4.0,50-54,0.31,07,sv,4,sv,sv,sv,sv,sv,sv
Casanova Di Neri,Brunello Cerretalto,5.0,250-299,2.81,12,sv,sv,sv,5,5,sv,5,sv
Casanova Di Neri,Brunello,3.5,45-49,0.84,20,sv,sv,4,3,4,3,sv,sv
Casisano,Brunello Riserva Colombaiolo,4.0,75-79,0.31,05,sv,sv,sv,sv,sv,4,sv,sv
Casisano,Brunello,3.0,35-39,0.11,03,sv,sv,sv,sv,3,sv,sv,sv
Castello Romitorio,Brunello Riserva,4.0,100-124,0.63,06,sv,sv,sv,4,4,sv,sv,sv
Castello Romitorio,Brunello Filo Di Seta,5.0,60-64,2.81,51,sv,sv,sv,5,5,5,sv,sv
Castello Romitorio,Brunello,3.7,45-49,0.74,18,sv,sv,sv,4,4,3,sv,sv
Castello Tricerchi,Brunello AD 1441,4.5,90-94,2.50,31,5,4,4,sv,5,sv,sv,sv
Castello Tricerchi,Brunello,3.8,45-49,2.51,60,4,3,3,3,5,5,sv,sv
Castiglion Del Bosco,Brunello,3.0,45-49,0.21,05,sv,sv,3,sv,sv,3,sv,sv
Castiglion Del Bosco,Brunello Campo Del Drago,3.0,70-74,0.11,02,sv,sv,sv,sv,sv,3,sv,sv
Castiglion Del Bosco,Brunello Riserva Millecento,3.0,175-199,0.11,01,sv,sv,sv,sv,sv,sv,3,sv
Ciacci Piccolomini D'Aragona,Brunello,3.6,50-54,1.16,25,sv,4,3,4,3,4,sv,sv
Col D'Orcia,Brunello Nastagio,4.3,45-49,1.88,45,sv,4,sv,4,5,4,sv,sv
Col D'Orcia,Brunello,3.2,30-34,0.85,30,3,3,3,3,3,4,sv,sv
Col D'Orcia,Brunello Riserva Poggio Al Vento,4.7,75-79,2.19,32,sv,sv,sv,4,5,5,sv,sv
Dievole,Brunello Poggio Landi,2.7,35-39,0.25,08,3,3,sv,sv,2,sv,sv,sv
Dievole,Brunello Podere Brizio,3.0,45-49,0.21,05,3,3,sv,sv,sv,sv,sv,sv
Dievole,Brunello Riserva Podere Brizio,3.0,85-89,0.11,01,sv,sv,sv,3,sv,sv,sv,sv
Dievole,Brunello Riserva Poggio Landi,3.0,80-84,0.11,01,sv,sv,sv,3,sv,sv,sv,sv
Donatella Cinelli Colombini,Brunello Riserva,4.5,80-84,2.92,40,sv,5,sv,5,5,sv,3,sv
Donatella Cinelli Colombini,Brunello Prime Donne,3.7,50-54,1.89,41,4,5,3,3,3,4,sv,sv
Donatella Cinelli Colombini,Brunello,3.2,45-49,0.74,18,3,3,sv,3,4,3,sv,sv
Fattoria Dei Barbi,Brunello Riserva,3.4,80-84,0.95,13,sv,4,sv,3,4,3,3,sv
Fattoria Dei Barbi,Brunello Vigna Del Fiore,4.0,70-74,1.99,31,4,4,sv,5,4,3,sv,sv
Fattoria Dei Barbi,Brunello,3.0,40-44,0.67,18,2,3,sv,4,3,3,sv,sv
Fattoria Del Cerro,Brunello,3.5,35-39,0.42,13,4,3,sv,sv,sv,sv,sv,sv
Fattoria Del Cerro,Brunello Riserva Poggio Abate,4.0,55-59,0.31,06,sv,4,sv,sv,sv,sv,sv,sv
Franco Pacenti,Brunello,3.0,45-49,0.21,05,3,sv,3,sv,sv,sv,sv,sv
Franco Pacenti,Brunello Riserva,3.0,70-74,0.11,02,sv,3,sv,sv,sv,sv,sv,sv
Frescobaldi,Brunello Castelgiocondo,3.0,40-44,0.53,14,sv,3,3,3,3,3,sv,sv
Frescobaldi,Brunello Riserva Ripe Al Convento,3.0,90-94,0.11,01,sv,sv,sv,sv,sv,sv,3,sv
Fuligni,Brunello Riserva,4.7,100-124,2.19,22,sv,5,sv,5,sv,sv,4,sv
Fuligni,Brunello,3.8,65-69,1.78,30,4,5,3,sv,4,3,sv,sv
Giodo,Brunello Giodo,5.0,100-124,3.75,38,5,5,5,5,sv,sv,sv,sv
Il Marroneto,Brunello Madonna Delle Grazie,5.0,200-249,3.75,19,5,5,sv,5,5,sv,sv,sv
Il Marroneto,Brunello,4.2,75-79,2.20,32,5,4,4,4,4,sv,sv,sv
Il Marroneto,Brunello Riserva Madonna Delle Grazie,5.0,200-249,0.94,05,sv,sv,sv,5,sv,sv,sv,sv
La Gerla,Brunello Riserva Gli Angeli,4.4,100-124,2.82,28,sv,5,sv,5,4,4,4,sv
La Gerla,Brunello,3.8,50-54,2.09,45,4,4,3,5,4,3,sv,sv
La Lecciaia,Brunello,2.0,25-29,0.04,02,sv,sv,sv,sv,sv,2,sv,sv
La Lecciaia,Brunello Riserva,3.0,30-34,0.11,04,sv,sv,sv,sv,sv,sv,3,sv
La Lecciaia,Brunello Riserva Vigna Manapetra,3.0,30-34,0.11,04,sv,sv,sv,sv,sv,sv,3,sv
La Palazzetta,Brunello,4.0,30-34,0.63,22,sv,sv,sv,sv,4,4,sv,sv
Le Chiuse,Brunello,3.8,65-69,1.68,28,4,4,4,4,4,3,sv,sv
Le Macioche,Brunello Riserva,3.7,75-79,1.15,17,sv,5,sv,3,3,sv,sv,sv
Le Macioche,Brunello,4.0,65-69,0.63,11,4,sv,sv,4,sv,sv,sv,sv
Le Ragnaie,Brunello,3.8,75-59,1.05,18,sv,4,sv,3,4,4,sv,sv
Le Ragnaie,Brunello Fornace,4.8,150-174,3.13,22,sv,5,sv,5,4,5,sv,sv
Le Ragnaie,Brunello V.V.,4.0,100-124,1.36,14,sv,sv,sv,4,5,3,sv,sv
Loacker Toscana,Brunello Fiore Del Vento,5.0,60-64,2.81,51,5,5,sv,5,sv,sv,sv,sv
Loacker Toscana,Brunello Campo Marzio,3.0,60-64,0.21,04,3,3,sv,sv,sv,sv,sv,sv
Loacker Toscana,Brunello Fior di Meliloto,3.5,60-64,0.42,08,3,4,sv,sv,sv,sv,sv,sv
Loacker Toscana,Brunello Corte Pavone,3.2,45-49,0.74,18,3,3,3,4,3,sv,sv,sv
Loacker Toscana,Brunello Vigna Poggio Molino Al Vento,4.0,50-54,0.31,07,sv,sv,4,sv,sv,sv,sv,sv
Luce Della Vite,Brunello Luce,4.8,90-94,3.13,38,sv,sv,4,5,5,5,sv,sv
Mastrojanni,Brunello Vigna Loreto,4.4,90-94,3.23,40,5,4,sv,5,5,3,sv,sv
Mastrojanni,Brunello,3.3,55-59,1.05,21,4,3,3,4,3,3,sv,sv
Mastrojanni,Brunello Vigna Schiena D'Asino,5.0,125-149,2.81,23,sv,5,sv,5,sv,5,sv,sv
Mate,Brunello Riserva,4.0,75-79,1.04,15,sv,5,sv,sv,3,sv,sv,sv
Mate,Brunello,3.0,50-54,0.46,10,4,3,sv,2,sv,sv,sv,sv
Palazzo,Brunello Riserva,4.5,55-59,1.25,25,sv,5,sv,4,sv,sv,sv,sv
Palazzo,Brunello Cosimo Selezione,4.0,45-49,0.63,15,4,4,sv,sv,sv,sv,sv,sv
Palazzo,Brunello,3.7,35-39,0.74,22,4,4,3,sv,sv,sv,sv,sv
Pian Delle Vigne,Brunello Riserva Pian Delle Vigne,3.0,100-124,0.11,01,sv,3,sv,sv,sv,sv,sv,sv
Pian Delle Vigne,Brunello Pian Delle Vigne,3.0,45-49,0.67,16,3,sv,3,3,4,2,sv,sv
Pian Delle Vigne,Brunello Riserva Vignaferrovia,4.0,95-99,1.36,16,sv,sv,sv,5,4,sv,3,sv
Piancornello,Brunello Riserva,3.3,65-69,1.08,18,sv,5,sv,3,2,sv,sv,sv
Piancornello,Brunello,3.0,45-49,0.32,08,3,sv,sv,3,3,sv,sv,sv
Pietroso,Brunello,4.7,55-59,4.38,87,4,5,5,5,5,4,sv,sv
Pietroso,Brunello Riserva,4.0,100-124,1.04,11,sv,3,sv,sv,sv,sv,5,sv
Pieve Santa Restituta,Brunello Sugarille,4.8,150-174,3.13,22,5,4,sv,5,sv,5,sv,sv
Pieve Santa Restituta,Brunello Rennina,4.0,125-149,0.94,08,4,4,sv,4,sv,sv,sv,sv
Podere Brizio,Brunello,3.0,30-34,0.21,07,sv,sv,sv,sv,3,3,sv,sv
Podere Brizio,Brunello Riserva,3.0,55-59,0.11,02,sv,sv,sv,sv,sv,sv,3,sv
Podere Le Ripi,Brunello Riserva Lupi E Sirene,4.5,100-124,1.25,13,sv,4,sv,sv,sv,5,sv,sv
Podere Le Ripi,Brunello Riserva Cielo D'Ulisse,3.0,60-64,0.11,02,sv,sv,sv,3,sv,sv,sv,sv
Podere Salicutti,Brunello Piaggione,3.0,60-69,0.11,02,sv,sv,sv,sv,sv,3,sv,sv
Poggio Antico,Brunello Riserva,4.0,95-99,0.31,04,sv,sv,sv,sv,4,sv,sv,sv
Poggio Antico,Brunello Altero,4.0,65-69,0.63,11,sv,sv,sv,4,4,sv,sv,sv
Poggio Antico,Brunello,3.5,40-44,0.42,11,sv,sv,sv,4,3,sv,sv,sv
Poggio Di Sotto,Brunello Riserva,5.0,250-299,4.69,19,sv,5,sv,5,5,5,5,sv
Poggio Di Sotto,Brunello,4.8,125-149,5.00,41,5,5,4,5,5,5,sv,sv
Poggio Nardone,Brunello,2.0,40-44,0.04,01,sv,sv,sv,2,sv,sv,sv,sv
Poggio Nardone,Brunello Riserva,3.0,80-84,0.11,01,sv,sv,sv,sv,3,sv,sv,sv
Querce bettina,Brunello,4.0,55-59,1.36,27,sv,3,sv,4,5,sv,sv,sv
Querce bettina,Brunello Riserva,4.0,75-79,0.31,05,sv,sv,sv,4,sv,sv,sv,sv
