Produttore,Vino,Media Grezza,V Score,Prezzo,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Badia a Coltibuono,Chianti Classico Riserva Cultus Boni,4.0,1.67,25-29,sv,sv,4,4,5,sv,3,sv,sv,sv
Badia a Coltibuono,Chianti Classico Riserva Badia a Coltibuono,3.8,1.78,25-29,sv,sv,4,5,4,sv,3,3,sv,sv
Badia a Coltibuono,Chianti Classico Badia a Coltibuono,3.0,0.35,10-14,2,4,sv,sv,sv,sv,sv,sv,sv,sv
Badia a Coltibuono,Chianti Classico Selezione RS,1.7,0.07,10-14,2,sv,sv,sv,2,1,sv,sv,sv,sv
Badia a Coltibuono,Chianti Classico,2.7,0.25,10-14,sv,sv,sv,3,3,2,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Gran Selezione Salivolpe,3.3,0.53,25-29,sv,sv,3,4,3,sv,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Al Limite,2.5,0.14,15-19,sv,sv,2,3,sv,sv,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Riserva Monsenese,2.5,0.14,20-24,sv,sv,sv,2,3,sv,sv,sv,sv,sv
Bibbiano,Chianti Classico Gran Selezione Vigna Del Capannino,4.8,4.06,50-54,sv,5,sv,5,5,4,5,sv,sv,sv
Bibbiano,Chianti Classico Gran Selezione Vigna Del Montornello,3.3,0.53,50-54,sv,3,sv,sv,4,3,sv,sv,sv,sv
Bibbiano,Chianti Classico Riserva,3.2,0.74,50-54,sv,3,3,4,3,3,sv,sv,sv,sv
Bibbiano,Chianti Classico,2.4,0.32,20-24,2,3,2,2,3,sv,sv,sv,sv,sv
Bibbiano,Chianti Classico Montornello Riserva,4.0,0.31,15-19,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Bindi Sergardi,Chianti Classico Gran Selezione Mocenni 89,4.0,1.99,45-49,sv,sv,3,4,4,sv,5,4,sv,sv
Bindi Sergardi,Chianti Classico Ser Gardo,3.0,0.32,15-19,sv,3,sv,3,3,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Riserva I Colli,3.0,0.21,20-24,sv,3,sv,sv,3,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico La Ghirlanda,3.0,0.43,15-19,sv,3,3,3,3,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Tenuta Marcianella Presoni,3.0,0.11,10-14,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Calidonia Riserva,3.0,0.32,25-29,sv,sv,sv,3,3,3,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico Riserva Lucarello,3.5,0.84,20-24,sv,sv,3,4,4,sv,3,sv,sv,sv
Borgo Salcetino,Chianti Classico Salcetino,2.5,0.14,15-19,sv,3,2,sv,sv,sv,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico Gran Selezione I Salci,3.0,0.21,35-39,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico,2.0,0.04,10-14,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Capannelle,Chianti Classico Gran Selezione,3.7,1.15,60-64,sv,sv,sv,3,3,sv,5,sv,sv,sv
Capannelle,Chianti Classico Riserva,2.8,0.60,30-34,sv,sv,2,2,3,3,4,sv,sv,sv
Carpineto,Chianti Classico Riserva,2.5,0.14,15-19,sv,sv,2,sv,3,sv,sv,sv,sv,sv
Carpineto,Chianti Classico,2.5,0.14,10-14,2,sv,3,sv,sv,sv,sv,sv,sv,sv
Carpineto,Chianti Classico Gran Selezione,3.0,0.21,45-49,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Casa Emma,Chianti Classico Gran Selezione,3.6,1.57,50-54,sv,sv,5,3,4,sv,3,3,sv,sv
Casa Emma,Chianti Classico Riserva Vignalparco,2.7,0.25,20-24,3,sv,sv,3,sv,sv,2,sv,sv,sv
Casa Emma,Chianti Classico,2.6,0.53,20-24,3,4,2,sv,2,2,sv,sv,sv,sv
Casa Emma,Chianti Classico Riserva,2.0,0.07,30-34,sv,sv,sv,2,sv,sv,2,sv,sv,sv
Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,3.2,0.88,40-44,sv,3,sv,4,3,sv,4,2,sv,sv
Casale Dello Sparviero,Chianti Classico Riserva,2.4,0.32,20-24,sv,3,sv,3,2,sv,2,2,sv,sv
Casale Dello Sparviero,Chianti Classico,2.3,0.22,15-19,2,sv,3,2,2,sv,sv,sv,sv,sv
Casale Dello Sparviero,Chianti Classico Gran Selezione Andrighetti,2.5,0.14,15-19,sv,sv,sv,sv,sv,sv,3,2,sv,sv
Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,3.0,0.78,25-29,sv,3,3,3,2,3,4,sv,sv,sv
Castellare Di Castellina,Chianti Classico Riserva,2.8,0.57,20-24,sv,3,3,3,3,3,2,sv,sv,sv
Castellare Di Castellina,Chianti Classico,2.3,0.36,15-19,3,3,2,2,2,2,sv,sv,sv,sv
Castellinuzza,Chianti Classico Riserva,4.0,0.31,25-29,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Castellinuzza,Chianti Classico Gran Selezione,3.0,0.11,35-39,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Castellinuzza,Chianti Classico,2.0,0.04,15-19,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Castello Di Ama,Chianti Classico Riserva Montebuoni,3.0,0.11,30-34,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Ama,Chianti Classico Gran Selezione San Lorenzo,3.2,0.74,40-44,sv,sv,3,3,3,4,3,sv,sv,sv
Castello Di Ama,Chianti Classico Ama,2.5,0.43,20-24,3,3,2,2,3,2,sv,sv,sv,sv
Castello Di Ama,Chianti Classico Gran Selezione Vigneto Bellavista,5.0,2.81,200-249,sv,sv,sv,5,5,sv,5,sv,sv,sv
Castello Di Ama,Chianti Classico Gran Selezione Vigneto La Casuccia,4.0,1.36,200-249,sv,sv,sv,4,5,sv,3,sv,sv,sv
Castello Di Albola,Chianti Classico Gran Selezione Santa Caterina,4.0,0.31,30-34,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Albola,Chianti Classico Riserva,3.0,0.11,20-24,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Albola,Chianti Classico,3.0,0.11,10-14,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Castello Di Cacchiano,Chianti Classico,3.0,0.43,15-19,sv,sv,3,3,sv,sv,3,3,sv,sv
Castello Di Cacchiano,Chianti Classico Gran Selezione Millennio,3.0,0.21,30-34,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello Di Cacchiano,Chianti Classico Riserva,3.0,0.21,25-29,sv,sv,sv,sv,3,sv,3,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Vicoregio 36,3.5,0.42,55-59,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Badiola,3.5,0.42,55-59,sv,3,4,sv,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Riserva Ser Lapo,2.2,0.29,15-19,sv,3,2,2,2,2,2,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione Castello di Fonterutoli,3.0,0.21,45-49,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Fonterutoli,2.4,0.32,15-19,sv,2,2,2,3,3,sv,sv,sv,sv
Castello di Fonterutoli,Chianti Classico Gran Selezione,3.0,0.32,40-44,sv,sv,sv,3,3,sv,3,sv,sv,sv
Castello di Gabbiano,Chianti Classico Gran Selezione Cavaliere d'Oro Bellezza,3.5,0.98,30-34,sv,sv,2,4,4,sv,4,sv,sv,sv
Castello di Gabbiano,Chianti Classico Riserva Cavaliere d'Oro,2.6,0.39,20-24,sv,2,2,3,3,3,sv,sv,sv,sv
Castello di Gabbiano,Chianti Classico Cavaliere d'Oro,2.0,0.15,10-14,sv,2,2,2,2,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione Vigna Poggiarso,4.0,0.31,45-49,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione Vigna Casi,3.0,0.11,35-39,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva,3.0,0.21,20-24,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico,2.2,0.29,15-19,2,3,2,2,2,sv,2,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva Vigna Casi,3.0,0.32,25-29,sv,sv,sv,3,3,3,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Riserva Vigna Poggiarso,3.0,0.11,25-29,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico 50° anniversario,3.0,0.11,25-29,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Castello di Meleto,Chianti Classico Gran Selezione,3.3,0.53,35-39,sv,sv,sv,sv,3,sv,4,3,sv,sv
Castello di Meleto,Chianti Classico Riserva Borgaio,2.0,0.04,15-19,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Castello di Monsanto,Chianti Classico Gran Selezione Il Poggio,4.8,5.00,55-59,sv,sv,sv,5,5,4,5,5,5,sv
Castello di Monsanto,Chianti Classico,2.3,0.36,15-19,3,3,2,2,2,2,sv,sv,sv,sv
