Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Badia Di Morrona,Chianti Riserva I Sodi Del Paretaio,3.0,15-19,26,33,sv,sv,4,4,2,3,3,2,sv,sv
Badia Di Morrona,Chianti I Sodi Del Paretaio,2.3,5-9,10,32,2,3,3,2,2,2,sv,sv,sv,sv
Pietro Beconcini,Chianti Riserva Pietro Beconcini,2.2,20-24,7,7,sv,sv,2,2,2,3,sv,2,sv,sv
Pietro Beconcini,Chianti Antiche Vie,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Camperchi,Chianti Riserva Prima Selezione,2.0,20-24,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Camperchi,Chianti Sasso Lupaio,2.0,5-9,1,3,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Camperchi,Chianti Riserva Sasso Lupaio,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Cappella Sant'Andrea,Chianti Colli Senesi Arciduca,2.0,15-19,2,3,sv,sv,2,2,sv,sv,sv,sv,sv,sv
Casale Di Falchini,Chianti Titolato Colombaia,1.6,10-14,3,6,sv,sv,2,1,2,1,2,sv,sv,sv
Casanova Della Spinetta,Chianti Riserva,3.0,25-29,6,5,sv,sv,sv,sv,3,3,sv,sv,sv,sv
Castello Del Trebbio,Chianti Rufina Riserva Lastricato,2.8,25-29,16,13,sv,sv,sv,3,3,3,2,3,3,sv
Castello Del Trebbio,Chianti Superiore,2.2,10-14,7,13,sv,sv,3,2,2,2,2,sv,sv,sv
Castello Di Farnetella,Chianti Colli Senesi,1.8,5-9,3,10,sv,2,sv,2,2,sv,1,sv,sv,sv
Castello Di Poppiano,Chianti Colli Fiorentini Riserva Castello Di Poppiano,2.0,25-29,6,5,sv,sv,3,sv,2,2,1,2,sv,sv
Castello Di Poppiano,Chianti Colli Fiorentini Il Cortile,2.0,15-19,4,5,sv,sv,sv,2,2,2,2,sv,sv,sv
Castello Di Poppiano,Chianti Le Terre Di Poppiano,1.0,10-14,1,1,sv,sv,1,sv,sv,sv,sv,sv,sv,sv
Castello Sonnino,Chianti Montespertoli Riserva Castello Di Montespertoli,2.8,10-14,16,29,sv,sv,3,3,2,3,3,3,sv,sv
Castello Sonnino,Chianti Montespertoli Sonnino,2.0,5-9,4,13,sv,sv,2,2,2,2,sv,sv,sv,sv
Castelvecchio,Chianti Colli Fiorentini Il Castelvecchio,2.3,15-19,6,8,sv,3,2,2,sv,2,sv,sv,sv,sv
Castelvecchio,Chianti Santa Caterina,2.0,5-9,5,16,sv,2,1,2,sv,3,sv,sv,sv,sv
Castelvecchio,Chianti Colli Fiorentini Riserva La Quercia,3.0,25-29,9,7,sv,sv,sv,3,3,sv,sv,3,sv,sv
Fattoria Dianella,Chianti Riserva,3.0,25-29,12,10,sv,sv,sv,3,3,3,sv,3,sv,sv
Fattoria Dianella,Chianti,2.4,10-14,10,18,sv,3,3,2,3,1,sv,sv,sv,sv
Fattoria Selvapiana,Chianti Rufina Riserva Vigneto Bucerchiale,4.6,30-34,97,67,sv,sv,5,4,5,5,sv,4,sv,sv
Fattoria Selvapiana,Chianti Rufina,2.4,10-14,9,17,sv,2,2,2,3,sv,3,sv,sv,sv
Fattoria Selvapiana,Chianti Rufina Riserva Vigneto Erchi,4.0,50-54,29,12,sv,sv,sv,5,3,sv,sv,sv,sv,sv
Fattoria Torre A Cona,Chianti Colli Fiorentini Riserva Badia A Corte,3.0,25-29,3,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Fattoria Torre A Cona,Chianti Colli Fiorentini Riserva Terre Di Cino,3.0,25-29,3,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Fattoria Torre A Cona,Chianti Colli Fiorentini,3.0,10-14,3,5,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Frascole,Chianti Rufina Frascole,2.8,10-14,16,29,sv,3,3,3,3,3,2,sv,sv,sv
Frascole,Chianti Rufina Riserva Frascole,3.0,25-29,22,18,sv,sv,3,3,4,3,2,3,sv,sv
Guicciardini Strozzi,Chianti Colli Senesi Titolato Strozzi,2.0,10-14,5,9,sv,2,2,2,2,2,sv,sv,sv,sv
I Veroni,Chianti Rufina Riserva Vigneto Quona,4.3,20-24,100,100,sv,sv,4,4,5,5,5,3,sv,sv
I Veroni,Chianti Rufina I Domi,2.5,10-14,13,24,sv,2,3,3,3,3,1,sv,sv,sv
Il Colombaio Di Santa Chiara,Chianti Colli Senesi Riserva Il Priore,1.8,20-24,5,5,sv,sv,sv,2,2,2,2,1,2,sv
Il Colombaio Di Santa Chiara,Chianti Colli Senesi Campale,2.0,10-14,2,4,sv,sv,sv,sv,sv,2,2,sv,sv,sv
Il Palagione,Chianti Colli Senesi Caelum,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
La Querce,Chianti Colli Fiorentini Riserva La Torretta,2.6,15-19,11,14,sv,sv,3,2,3,3,2,sv,sv,sv
La Querce,Chianti Colli Fiorentini Sorrettole,1.5,5-9,2,7,sv,2,2,sv,1,1,sv,sv,sv,sv
Lavacchio,Chianti Rufina Cedro,2.2,10-14,8,15,sv,3,2,2,2,2,2,sv,sv,sv
Lavacchio,Chianti Puro,1.2,10-14,1,2,sv,2,1,1,1,1,sv,sv,sv,sv
Lavacchio,Chianti Riserva Puro,1.3,10-14,1,2,sv,sv,sv,sv,1,2,1,sv,sv,sv
Lavacchio,Chianti Rufina Ludiè,3.0,55-59,12,5,sv,sv,sv,sv,sv,3,sv,3,3,3
Lavacchio,Chianti Rufina Riserva Cedro,2.5,15-19,8,10,sv,sv,sv,sv,2,3,sv,3,sv,2
Malenchini,Chianti Colli Fiorentini Riserva,3.0,20-24,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Malenchini,Chianti Superiore,2.0,20-24,1,1,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Malenchini,Chianti Colli Fiorentini,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Mannucci Droandi,Chianti Colli Aretini,3.0,10-14,3,5,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Marchesi Gondi,Chianti Rufina San Giuliano,1.8,15-19,5,7,sv,2,1,2,2,2,sv,2,sv,sv
Marchesi Gondi,Chianti Rufina Riserva Villa Bossi,2.8,35-39,17,10,sv,sv,sv,sv,3,3,2,2,sv,4
Marchesi Gondi,Chianti Rufina Riserva Pian Dei Sorbi,2.3,25-29,6,5,sv,sv,sv,sv,2,2,sv,2,3,sv
Marzocco Di Poppiano,Chianti Colli Fiorentini Riserva Marzocco Di Poppiano,3.0,15-19,9,12,sv,sv,sv,sv,3,3,3,sv,sv,sv
Marzocco Di Poppiano,Chianti Colli Fiorentini Marzocco Di Poppiano,2.5,10-14,4,7,sv,3,2,sv,sv,sv,sv,sv,sv,sv
Montechiaro,Chianti Colli Senesi Riserva Anno Domini 345,2.8,20-24,13,13,sv,sv,3,3,3,3,2,sv,sv,sv
Montechiaro,Chianti Colli Senesi Anno Domini 345,2.3,10-14,5,9,sv,sv,2,sv,2,3,sv,sv,sv,sv
Mormoraia,Chianti Colli Senesi Riserva Trochus,2.0,15-19,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Panizzi,Chianti Colli Senesi Riserva Vertunno,2.0,10-14,5,9,sv,sv,sv,sv,2,2,2,2,2,sv
Poggio Bonelli,Chianti Colli Senesi,2.3,5-9,5,16,sv,sv,2,3,2,sv,sv,sv,sv,sv
Poggio Bonelli,Chianti Villa Chigi,2.0,5-9,4,13,sv,2,2,sv,2,2,sv,sv,sv,sv
Poggiotondo,Chianti Le Rancole,2.4,15-19,9,12,sv,sv,2,2,3,3,2,sv,sv,sv
Ruffino,Chianti Biologico,2.0,5-9,1,3,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Ruffino,Chianti Nuovo Fiasco,2.0,10-14,1,2,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Salcheto,Chianti Biskero,2.0,5-9,1,3,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Salcheto,Chianti Colli Senesi,3.0,5-9,3,9,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
San Benedetto,Chianti Colli Senesi,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
San Benedetto,Chianti Riserva,2.5,20-24,8,8,sv,sv,sv,sv,3,2,sv,3,2,sv
San Benedetto,Chianti,1.3,15-19,1,1,sv,sv,sv,1,2,sv,1,sv,sv,sv
Sensi,Chianti Riserva Vinciano,2.0,15-19,3,4,sv,sv,2,2,2,sv,sv,sv,sv,sv
Sensi,Chianti Riserva Dal Campo,2.0,5-9,3,10,sv,sv,2,2,2,sv,sv,sv,sv,sv
Sensi,Chianti Vinciano,1.7,10-14,2,4,sv,2,2,sv,1,sv,sv,sv,sv,sv
Sensi,Chianti Superiore Vegante Biologico,1.5,5-9,1,3,sv,sv,1,2,sv,sv,sv,sv,sv,sv
Sensi,Chianti Campoluce,2.0,5-9,2,6,sv,sv,2,sv,2,sv,sv,sv,sv,sv
Tenuta Canto Alla Moraia,Chianti Bacco Felice,2.0,20-24,2,2,sv,2,2,sv,sv,sv,sv,sv,sv,sv
Tenuta Di Artimino,Chianti Montalbano,2.0,10-14,4,8,sv,2,2,2,2,sv,sv,sv,sv,sv
Tenuta Di Colle Alberti,Chianti,1.0,5-9,1,2,1,1,sv,sv,sv,sv,sv,sv,sv,sv
Tenuta Di Colle Alberti,Chianti Governo All’Uso Toscano,2.0,10-14,1,2,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Tenuta Di Trecciano,Chianti Colli Senesi Riserva Terra Rossa,3.0,15-19,18,23,sv,sv,3,3,3,3,3,3,sv,sv
Tenuta Di Trecciano,Chianti Colli Senesi,2.0,10-14,6,11,2,2,2,2,2,2,sv,sv,sv,sv
Tenuta San Jacopo,Chianti Riserva Poggio Ai Grilli,2.0,15-19,1,1,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Tenute San Fabiano,Chianti Superiore Etichetta Nera,1.8,10-14,4,8,sv,2,2,2,sv,2,1,sv,sv,sv
Tenute San Fabiano,Chianti Putto San Fabiano,1.6,5-9,3,10,sv,2,2,2,1,1,sv,sv,sv,sv
Tenute San Fabiano,Chianti Riserva San Fabiano,2.0,10-14,4,8,sv,sv,2,sv,2,2,2,sv,sv,sv
Uggiano,Chianti Riserva,2.0,15-19,2,3,sv,sv,2,2,sv,sv,sv,sv,sv,sv
Vagnoni,Chianti Colli Senesi,1.8,5-9,4,13,sv,2,2,2,2,sv,1,sv,sv,sv
Vagnoni,Chianti Colli Senesi Riserva Capanneto,2.0,15-19,2,3,sv,sv,sv,2,sv,2,sv,sv,sv,sv
Villa Poggio Salvi,Chianti Colli Senesi Caspagnolo,2.0,10-14,5,9,2,2,sv,2,2,2,sv,sv,sv,sv
Villa Saletta,Chianti Superiore,2.0,10-14,1,2,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Villa Sant’Anna,Chianti Colli Senesi,2.3,5-9,6,19,sv,3,sv,2,sv,2,sv,2,sv,sv
