Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012
Abbazia Monte Oliveto,Vernaccia Di San Gimignano La Gentilesca,3.0,10-14,7,10,3,3,sv,3,sv,sv,sv,sv,sv
Abbazia Monte Oliveto,Vernaccia Di San Gimignano,2.8,5-9,8,20,2,3,3,3,sv,sv,sv,sv,sv
Cappella Sant'Andrea,Vernaccia Di San Gimignano Riserva Prima Luce,3.3,35-39,14,7,sv,sv,4,3,3,sv,3,sv,sv
Cappella Sant'Andrea,Vernaccia Di San Gimignano Rialto,3.0,20-24,10,8,sv,3,3,3,sv,3,sv,sv,sv
Cappella Sant'Andrea,Vernaccia Di San Gimignano Clara Stella,2.3,15-19,5,5,2,2,3,sv,2,sv,sv,sv,sv
Casale Di Falchini,Vernaccia Di San Gimignano Vigna A Solatio,2.2,10-14,7,10,3,2,2,1,3,2,sv,sv,sv
Casale Di Falchini,Vernaccia Di San Gimignano Ab Vinea Doni,2.4,15-19,7,7,3,sv,sv,3,2,2,2,sv,sv
Casale Di Falchini,Vernaccia Di San Gimignano Riserva Vigna A Solatio,3.7,25-29,17,11,sv,sv,sv,sv,sv,4,3,4,sv
Cecchi,Vernaccia Di San Gimignano Castello Montauto,2.0,10-14,3,5,sv,sv,2,2,2,2,sv,sv,sv
Fattoria Di Pancole,Vernaccia Di San Gimignano,3.0,10-14,2,3,sv,sv,sv,sv,sv,3,sv,sv,sv
Fattoria San Donato,Vernaccia Di San Gimignano Riserva Benedetta,3.0,15-19,2,2,sv,sv,sv,sv,3,sv,sv,sv,sv
Fattoria San Donato,Vernaccia Di San Gimignano Angelica,2.0,10-14,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv
Guicciardini Strozzi,Vernaccia Di San Gimignano Riserva,3.0,15-19,15,15,sv,sv,3,3,3,3,3,3,sv
Guicciardini Strozzi,Vernaccia Di San Gimignano Titolato Strozzi,1.8,10-14,3,5,2,2,2,2,1,sv,sv,sv,sv
Guicciardini Strozzi,Vernaccia Di San Gimignano Cusona 1933,2.0,10-14,1,1,sv,sv,sv,sv,sv,sv,2,sv,sv
Il Colombaio Di Santa Chiara,Vernaccia Di San Gimignano Campo Della Pieve,3.8,20-24,41,31,sv,5,sv,4,4,3,3,sv,sv
Il Colombaio Di Santa Chiara,Vernaccia Di San Gimignano Riserva L'Albereta,4.0,30-34,62,33,sv,sv,4,5,5,4,3,3,sv
Il Colombaio Di Santa Chiara,Vernaccia Di San Gimignano Selvabianca,3.3,15-19,30,30,4,4,4,4,2,2,sv,sv,sv
Il Palagione,Vernaccia Di San Gimignano Riserva Ori,3.0,15-19,5,5,sv,3,3,sv,sv,sv,sv,sv,sv
Il Palagione,Vernaccia Di San Gimignano Lyra,3.0,10-14,8,11,sv,sv,2,4,sv,sv,sv,sv,sv
Il Palagione,Vernaccia Di San Gimignano Hydra,2.5,10-14,3,5,2,3,sv,sv,sv,sv,sv,sv,sv
Il Palagione,Vernaccia Di San Gimignano Lei,2.0,15-19,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv
Montenidoli,Vernaccia Di San Gimignano Carato,4.0,30-34,7,4,sv,sv,sv,4,sv,sv,sv,sv,sv
Montenidoli,Vernaccia Di San Gimignano Fiore,2.0,20-24,1,1,sv,2,sv,sv,sv,sv,sv,sv,sv
Mormoraia,Vernaccia Di San Gimignano Riserva Antalis,3.0,15-19,2,2,sv,sv,sv,3,sv,sv,sv,sv,sv
Mormoraia,Vernaccia Di San Gimignano Suavis,2.0,10-14,1,1,2,sv,sv,sv,sv,sv,sv,sv,sv
Panizzi,Vernaccia Di San Gimignano Riserva,4.3,25-29,72,45,sv,sv,sv,5,4,4,4,4,5
Panizzi,Vernaccia Di San Gimignano,3.0,10-14,12,17,3,3,3,3,sv,3,sv,sv,sv
Panizzi,Vernaccia Di San Gimignano,2.8,15-19,13,13,sv,3,3,3,3,2,3,sv,sv
San Benedetto,Vernaccia Di San Gimignano,2.2,10-14,7,9,3,2,3,2,sv,1,sv,sv,sv
San Benedetto,Vernaccia Di San Gimignano Riserva,2.5,15-19,7,7,sv,sv,2,3,2,sv,sv,3,sv
Sensi,Vernaccia Di San Gimignano Collegiata,1.0,5-9,1,1,sv,1,1,sv,sv,sv,sv,sv,sv
Teruzzi E Puthod,Vernaccia Di San Gimignano,2.0,5-9,2,4,sv,sv,sv,sv,2,2,sv,sv,sv
Teruzzi E Puthod,Vernaccia Di San Gimignano Riserva,2.0,5-9,1,2,sv,sv,sv,sv,sv,2,sv,sv,sv
Teruzzi E Puthod,Vernaccia Di San Gimignano Riserva Sant'Elena,3.0,10-14,2,3,sv,sv,sv,sv,sv,3,sv,sv,sv
Vagnoni,Vernaccia Di San Gimignano,2.6,5-9,9,22,3,3,3,2,sv,2,sv,sv,sv
Vagnoni,Vernaccia Di San Gimignano Riserva I Mocali,3.8,15-19,33,33,sv,sv,sv,5,4,3,sv,3,sv
Vagnoni,Vernaccia Di San Gimignano Fontabuccio,2.0,10-14,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv
Vagnoni,Vernaccia Di San Gimignano Borgo Alla Terra,2.0,5-9,2,4,sv,2,sv,2,sv,sv,sv,sv,sv
Vincenzo Cesani,Vernaccia Di San Gimignano Riserva Sanice,4.7,15-19,100,100,sv,sv,5,5,5,5,4,4,sv
Vincenzo Cesani,Vernaccia Di San Gimignano Clayms,3.4,10-14,22,31,sv,4,3,4,3,3,sv,sv,sv
Vincenzo Cesani,Vernaccia Di San Gimignano,2.4,5-9,7,18,sv,3,3,2,2,2,sv,sv,sv
