Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Avignonesi,Vino Nobile Di Montepulciano Poggetto Di Sopra,4.0,55-59,29,14,sv,5,4,3,sv,sv,sv,sv,sv,sv
Avignonesi,In Grandi Annate,4.5,50-54,53,28,sv,sv,5,4,sv,4,5,sv,sv,sv
Avignonesi,Vino Nobile Di Montepulciano,3.0,15-19,12,19,sv,sv,3,4,3,2,sv,sv,sv,sv
Avignonesi,Vino Nobile Di Montepulciano Caprile,3.0,35-39,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Avignonesi,Vino Nobile Di Montepulciano Il Poggetto,3.0,35-39,2,2,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Avignonesi,Vino Nobile Di Montepulciano La Banditella,4.0,35-39,7,5,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Avignonesi,Vino Nobile Di Montepulciano La Stella,4.0,35-39,7,5,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Avignonesi,Vino Nobile Di Montepulciano Ventisei,2.0,15-19,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Bertani Toscana,Vino Nobile Di Montepulciano Riserva Simposio,4.3,30-34,33,28,sv,4,5,4,sv,sv,sv,sv,sv,sv
Bertani Toscana,Vino Nobile Di Montepulciano Santa Caterina,2.5,20-24,3,4,sv,3,2,sv,sv,sv,sv,sv,sv,sv
Bindella,Vino Nobile Di Montepulciano I Quadri,5.0,25-29,100,100,5,5,5,5,sv,5,sv,sv,sv,sv
Bindella,Vino Nobile Di Montepulciano Bindella,3.2,15-19,19,30,4,4,3,3,2,sv,sv,sv,sv,sv
Bindella,Vino Nobile Di Montepulciano Riserva Vallocaia,3.7,30-34,16,13,sv,sv,4,4,sv,3,sv,sv,sv,sv
Boscarelli,Vino Nobile Di Montepulciano Costa Grande,4.0,60-64,29,13,sv,5,3,4,sv,sv,sv,sv,sv,sv
Boscarelli,Vino Nobile Di Montepulciano Il Nocio,4.6,80-84,73,24,sv,4,5,4,sv,5,5,sv,sv,sv
Boscarelli,Vino Nobile Di Montepulciano Riserva,3.4,35-39,20,15,sv,4,4,3,sv,3,3,sv,sv,sv
Boscarelli,Vino Nobile Di Montepulciano Riserva Sotto Casa,3.8,35-39,45,33,sv,3,3,4,sv,5,4,4,sv,sv
Boscarelli,Vino Nobile Di Montepulciano,3.0,20-24,14,17,3,3,3,3,3,3,sv,sv,sv,sv
Canneto,Vino Nobile Di Montepulciano Riserva,3.2,25-29,28,28,sv,5,3,3,sv,2,3,sv,sv,sv
Canneto,Vino Nobile Di Montepulciano Casina Di Doro,3.4,30-34,32,27,sv,3,5,4,sv,3,2,sv,sv,sv
Canneto,Vino Nobile Di Montepulciano,2.0,15-19,2,2,sv,sv,sv,2,2,sv,sv,sv,sv,sv
Capoverso,Vino Nobile Di Montepulciano,3.0,20-24,5,6,sv,sv,sv,sv,sv,3,3,sv,sv,sv
Carpineto,Vino Nobile Di Montepulciano Vigneto Poggio Sant'Enrico,4.5,50-54,27,14,sv,sv,sv,sv,sv,sv,5,sv,4,sv
Carpineto,Vino Nobile Di Montepulciano Riserva,3.7,20-24,27,34,sv,sv,4,5,sv,2,sv,sv,sv,sv
