Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Badia a Coltibuono,Chianti Classico Riserva Cultus Boni,4.0,25-29,33,34,sv,sv,sv,4,4,5,sv,3,sv,sv,sv
Badia a Coltibuono,Chianti Classico Riserva Badia a Coltibuono,3.8,25-29,36,36,sv,sv,sv,4,5,4,sv,3,3,sv,sv
Badia a Coltibuono,Chianti Classico Badia a Coltibuono,3.0,10-14,7,16,sv,2,4,sv,sv,sv,sv,sv,sv,sv,sv
Badia a Coltibuono,Chianti Classico Selezione RS,1.7,10-14,1,3,sv,2,sv,sv,sv,2,1,sv,sv,sv,sv
Badia a Coltibuono,Chianti Classico,2.7,10-14,5,11,sv,sv,sv,sv,3,3,2,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Gran Selezione Salivolpe,3.3,25-29,11,11,sv,sv,sv,3,4,3,sv,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Al Limite,2.5,15-19,3,5,sv,sv,sv,2,3,sv,sv,sv,sv,sv,sv
Bertani Toscana,Chianti Classico Riserva Monsenese,2.5,20-24,3,4,sv,sv,sv,sv,2,3,sv,sv,sv,sv,sv
Bibbiano,Chianti Classico Gran Selezione Vigna Del Capannino,4.8,50-54,81,42,sv,sv,5,sv,5,5,4,5,sv,sv,sv
Bibbiano,Chianti Classico Gran Selezione Vigna Del Montornello,3.3,50-54,11,5,sv,sv,3,sv,sv,4,3,sv,sv,sv,sv
Bibbiano,Chianti Classico Riserva,3.2,50-54,15,8,sv,sv,3,3,4,3,3,sv,sv,sv,sv
Bibbiano,Chianti Classico,2.4,20-24,6,8,sv,2,3,2,2,3,sv,sv,sv,sv,sv
Bibbiano,Chianti Classico Montornello Riserva,4.0,15-19,6,10,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Bindi Sergardi,Chianti Classico Gran Selezione Mocenni 89,4.0,45-49,40,23,sv,sv,sv,3,4,4,sv,5,4,sv,sv
Bindi Sergardi,Chianti Classico Ser Gardo,3.0,15-19,6,10,sv,sv,3,sv,3,3,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Riserva I Colli,3.0,20-24,4,5,sv,sv,3,sv,sv,3,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico La Ghirlanda,3.0,15-19,9,14,sv,sv,3,3,3,3,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Tenuta Marcianella Presoni,3.0,10-14,2,5,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Bindi Sergardi,Chianti Classico Calidonia Riserva,3.0,25-29,6,6,sv,sv,sv,sv,3,3,3,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico Riserva Lucarello,3.5,20-24,17,21,sv,sv,sv,3,4,4,sv,3,sv,sv,sv
Borgo Salcetino,Chianti Classico Salcetino,2.5,15-19,3,5,sv,sv,3,2,sv,sv,sv,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico Gran Selezione I Salci,3.0,35-39,4,3,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Borgo Salcetino,Chianti Classico,2.0,10-14,1,2,sv,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Capannelle,Chianti Classico Gran Selezione,3.7,60-64,23,10,sv,sv,sv,sv,3,3,sv,5,sv,sv,sv
Capannelle,Chianti Classico Riserva,2.8,30-34,12,10,sv,sv,sv,2,2,3,3,4,sv,sv,sv
Carpineto,Chianti Classico Riserva,2.5,15-19,3,5,sv,sv,sv,2,sv,3,sv,sv,sv,sv,sv
Carpineto,Chianti Classico,2.5,10-14,3,6,sv,2,sv,3,sv,sv,sv,sv,sv,sv,sv
Carpineto,Chianti Classico Gran Selezione,3.0,45-49,4,2,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
Casa Emma,Chianti Classico Gran Selezione,3.6,50-54,31,16,sv,sv,sv,5,3,4,sv,3,3,sv,sv
Casa Emma,Chianti Classico Riserva Vignalparco,2.7,20-24,5,6,sv,3,sv,sv,3,sv,sv,2,sv,sv,sv
Casa Emma,Chianti Classico,2.6,20-24,11,13,sv,3,4,2,sv,2,2,sv,sv,sv,sv
Casa Emma,Chianti Classico Riserva,2.0,30-34,1,1,sv,sv,sv,sv,2,sv,sv,2,sv,sv,sv
Casale Dello Sparviero,Chianti Classico Gran Selezione Vigna Paronza,3.2,40-44,18,11,sv,sv,3,sv,4,3,sv,4,2,sv,sv
Casale Dello Sparviero,Chianti Classico Riserva,2.4,20-24,6,8,sv,sv,3,sv,3,2,sv,2,2,sv,sv
Casale Dello Sparviero,Chianti Classico,2.3,15-19,4,7,sv,2,sv,3,2,2,sv,sv,sv,sv,sv
Casale Dello Sparviero,Chianti Classico Gran Selezione Andrighetti,2.5,15-19,3,5,sv,sv,sv,sv,sv,sv,sv,3,2,sv,sv
Castellare Di Castellina,Chianti Classico Riserva Vigna Il Poggiale,3.0,25-29,16,16,sv,sv,3,3,3,2,3,4,sv,sv,sv
Castellare Di Castellina,Chianti Classico Riserva,2.8,20-24,11,14,sv,sv,3,3,3,3,3,2,sv,sv,sv
Castellare Di Castellina,Chianti Classico,2.3,15-19,7,11,sv,3,3,2,2,2,2,sv,sv,sv,sv
Castellinuzza,Chianti Classico Riserva,4.0,25-29,6,6,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Castellinuzza,Chianti Classico Gran Selezione,3.0,35-39,2,2,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
