Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle Extra Brut 1000 Bulles,2.0,40-44,3,2,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Brut Blanc Du Blanc,2.0,20-24,13,18,2,sv,2,2,sv,2,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Brut Nature Cuvee Gerbollier,3.0,20-24,9,13,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Extra Brut 1187,3.0,20-24,9,13,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Extra Brut Cuvee Du Prince,2.8,20-24,31,45,sv,sv,sv,sv,sv,3,3,3,sv,2
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Extra Brut Glacier,2.0,20-24,3,5,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Extra Brut XT,3.0,25-29,19,22,3,sv,3,sv,sv,sv,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Pas Dose,2.0,20-24,3,5,sv,sv,2,sv,sv,sv,sv,sv,sv,sv
Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Pas Dose Pavese XVIII,3.0,25-29,28,33,sv,sv,3,sv,3,3,sv,sv,sv,sv
Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Pas Dose Pavese XXIV,3.7,30-34,100,100,sv,sv,3,sv,3,5,sv,sv,sv,sv
Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Pas Dose Pavese XXXVI,4.0,30-34,55,55,sv,sv,4,sv,sv,4,sv,sv,sv,sv
Marziano Vevey,Vevey Brut Nature 18 Mesi,3.0,20-24,9,13,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
