Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014
Maison Anselmet,Valle D'Aosta Chardonnay Main Et Coeur,4.7,60-64,75,51,sv,4,5,sv,5,sv,sv
Maison Anselmet,Valle D'Aosta Chardonnay Eleve En Fut De Chene,3.0,35-39,11,12,sv,3,3,3,sv,sv,sv
Maison Anselmet,Valle D'Aosta Chardonnay,3.0,15-19,11,27,3,sv,3,sv,3,sv,sv
Cave Des Onze Communes,Valle D'Aosta Chardonnay,2.0,15-19,1,3,2,sv,sv,sv,sv,sv,sv
Diego Curtaz,Valle D'Aosta Chardonnay,3.0,15-19,4,9,sv,3,sv,sv,sv,sv,sv
Les Cretes,Valle D'Aosta Chardonnay Cuvée Bois,4.2,40-44,100,100,sv,5,4,4,4,5,3
Les Cretes,Valle D'Aosta Chardonnay,2.3,10-14,6,21,sv,3,2,2,sv,sv,sv
Rosset Terroir,Valle D'Aosta Chardonnay 770,3.2,35-39,30,34,sv,4,3,2,4,sv,3
Grosejan Vins,Valle D'Aosta Chardonnay Le Vin De Michel,3.0,25-29,4,6,sv,3,sv,sv,sv,sv,sv
Grosejan Vins,Valle D'Aosta Chardonnay,3.0,10-14,4,13,sv,3,sv,sv,sv,sv,sv
La Source,Valle D'Aosta Chardonnay,2.7,10-14,9,30,sv,sv,sv,3,3,2,sv
Di Barrò,Valle D'Aosta Chardonnay,2.0,10-14,2,9,sv,sv,sv,2,sv,2,sv
Feudo Di San Maurizio,Valle D'Aosta Chardonnay,2.8,10-14,12,43,sv,sv,3,3,3,2,sv
Stefano David,Valle D'Aosta Chardonnay Betelgeuse,1.0,10-14,1,2,sv,sv,sv,1,sv,sv,sv
Chateau Feuillet,Valle D'Aosta Chardonnay,3.5,15-19,14,36,sv,sv,sv,3,sv,4,sv
