Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012
Cave Des Onze Communes,Valle D'Aosta Fumin,2.5,15-19,10,16,sv,2,sv,sv,3,sv,sv,sv,sv
Chateau Feuillet,Valle D'Aosta Fumin,3.2,30-34,100,85,4,5,3,sv,2,2,sv,sv,sv
Maison Agricole,Valle D'Aosta Fumin,2.7,20-24,17,22,sv,3,sv,3,2,sv,sv,sv,sv
Grosejan Vins,Valle D'Aosta Fumin Vigne Rovettaz,2.3,20-24,15,19,sv,2,3,sv,2,sv,2,sv,sv
Institut Agricole Regional,Valle D'Aosta Fumin,2.8,15-19,32,52,sv,sv,3,3,2,3,3,sv,sv
La Crotta Di Vegneron,Valle D'Aosta Fumin Esprit Follet,3.2,25-29,52,52,sv,sv,3,3,3,4,3,sv,sv
La Vrille,Valle D'Aosta Fumin,2.8,25-29,40,40,sv,sv,sv,3,3,2,3,3,3
Les Cretes,Valle D'Aosta Fumin,2.7,20-24,35,43,sv,3,3,2,3,2,3,sv,sv
Lo Triolet,Valle D'Aosta Fumin,2.6,25-29,27,28,sv,2,3,3,3,2,sv,sv,sv
Andre Pellissier,Valle D'Aosta Fumin,3.0,30-34,15,13,sv,sv,3,3,sv,sv,sv,sv,sv
Ottin,Valle D'Aosta Fumin,3.6,20-24,81,100,sv,sv,4,4,3,4,3,sv,sv
Didier Gerbelle,Valle D'Aosta Fumin,3.0,20-24,7,9,sv,sv,sv,3,sv,sv,sv,sv,sv
La Crotta Di Vegneron,Valle D'Aosta Fumin La Griffe Des Lions,3.0,65-69,7,3,sv,sv,3,sv,sv,sv,sv,sv,sv
Grosejan Vins,Valle D'Aosta Fumin Merlette,3.0,30-34,7,6,sv,sv,3,sv,sv,sv,sv,sv,sv
Di Barrò,Valle D'Aosta Fumin,2.0,15-19,3,4,sv,sv,sv,sv,sv,2,sv,sv,sv
Maison Anselmet,Valle D'Aosta Fumin,2.5,25-29,20,20,sv,sv,sv,2,3,2,3,sv,sv
Di Francesco - Gasperi,Valle D'Aosta Fumin,2.0,15-19,8,12,sv,sv,sv,sv,2,2,2,sv,sv
Edoardo Braga,Valle D'Aosta Fumin,3.0,20-24,7,9,sv,sv,sv,sv,sv,3,sv,sv,sv
Feudo Di San Maurizio,Valle D'Aosta Fumin,2.0,15-19,3,4,sv,sv,sv,sv,sv,2,sv,sv,sv
Les Granges,Valle D'Aosta Fumin,2.7,35-39,27,20,sv,sv,sv,sv,2,4,2,sv,sv
