Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014
Chateau Feuillet,Valle D'Aosta Petite Arvine,2.8,15-19,18,24,3,2,3,3,sv,3,sv
Maison Agricole,Valle D'Aosta Petite Arvine,2.4,15-19,13,17,sv,2,3,3,2,2,sv
Nicola Del Negro,Valle D'Aosta Petite Arvine,3.0,15-19,8,11,3,sv,3,sv,sv,sv,sv
Di Barrò,Valle D'Aosta Petite Arvine,2.5,15-19,6,7,sv,3,sv,2,sv,sv,sv
Grosejan Vins,Valle D'Aosta Petite Arvine Chatel Argent,4.0,10-14,13,23,4,sv,sv,sv,sv,sv,sv
Institut Agricole Regional,Valle D'Aosta Petite Arvine,2.8,15-19,23,29,3,3,3,2,3,3,sv
La Source,Valle D'Aosta Petite Arvine,2.6,15-19,16,20,sv,3,2,sv,2,3,3
Le Grain,Valle D'Aosta Petite Arvine,2.5,15-19,6,7,3,sv,2,sv,sv,sv,sv
Lo Triolet,Valle D'Aosta Petite Arvine,2.8,15-19,14,18,3,3,2,3,sv,sv,sv
Ottin,Valle D'Aosta Petite Arvine,4.2,20-24,100,100,4,5,4,4,4,4,sv
Ottin,Valle D'Aosta Petite Arvine Nuances,3.3,25-29,42,34,sv,4,3,4,3,3,3
Maison Anselmet,Valle D'Aosta Petite Arvine,3.0,35-39,8,5,sv,sv,3,3,sv,sv,sv
Rosset Terroir,Valle D'Aosta Petite Arvine,2.0,20-24,1,1,sv,sv,2,sv,sv,sv,sv
Les Cretes,Valle D'Aosta Petite Arvine Fleur,2.7,20-24,10,10,sv,sv,3,3,sv,2,sv
Grosejan Vins,Valle D'Aosta Petite Arvine Vigne Rovettaz,3.0,15-19,13,16,sv,3,3,3,sv,sv,sv
Di Francesco Gasperi,Valle D'Aosta Petite Arvine,2.8,15-19,14,18,sv,sv,2,3,3,3,sv
Les Cretes,Valle D'Aosta Petite Arvine,3.0,15-19,17,22,sv,sv,3,sv,4,sv,sv
La Crotta Di Vegneron,Valle D'Aosta Petite Arvine,3.0,15-19,4,5,sv,sv,sv,3,sv,sv,sv
Feudo Di San Maurizio,Valle D'Aosta Petite Arvine,2.5,10-14,6,10,sv,sv,sv,sv,3,2,sv

