Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014
Edoardo Braga,Valle D'Aosta Pinot Gris,3.0,15-19,3,3,3,sv,sv,sv,sv,sv,sv
Crotta Di Prado,Valle D'Aosta Pinot Gris,2.0,15-19,6,6,2,sv,1,sv,2,3,sv
Di Barrò,Valle D'Aosta Pinot Gris,2.3,10-14,6,8,sv,sv,3,sv,2,2,sv
La Plantze,Valle D'Aosta Pinot Gris Trii Rundin,2.8,15-19,15,15,3,3,3,sv,2,3,sv
Les Cretes,Valle D'Aosta Pinot Gris Brulant,3.0,20-24,3,3,sv,3,sv,sv,sv,sv,sv
Lo Triolet,Valle D'Aosta Pinot Gris,4.3,15-19,100,100,4,5,4,5,4,4,sv
Tanteun E Marietta,Valle D'Aosta Pinot Gris Bizelle,3.3,25-29,20,13,sv,sv,3,sv,3,4,3
Rosset Terroir,Valle D'Aosta Pinot Gris,3.7,20-24,37,28,sv,3,5,3,sv,sv,sv
Cave Gargantua,Valle D'Aosta Pinot Gris,2.7,20-24,8,6,sv,3,sv,sv,3,2,sv
Institute Agricole Regional,Valle D'Aosta Pinot Gris,2.3,10-14,6,8,sv,2,3,2,sv,sv,sv
Caves Cooperatives De Donnas,Valle D'Aosta Pinot Gris,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv
Noussan,Valle D'Aosta Pinot Gris Tsanté,1.0,15-19,1,1,sv,1,sv,sv,sv,sv,sv
Didier Gerbelle,Valle D'Aosta Pinot Gris Les Plantse,3.0,15-19,7,7,sv,sv,sv,3,3,sv,sv
Coenfer,Valle D'Aosta Pinot Gris Soleil,2.0,10-14,1,2,sv,sv,sv,sv,2,sv,sv
