Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle La Piagne,3.0,25-29,9,6,sv,3,sv,sv,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Vini Estremi,2.0,15-19,9,9,3,sv,sv,sv,sv,1,sv,sv
Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle Non Filtrato,3.5,15-19,36,36,3,4,sv,sv,sv,sv,sv,sv
Albert Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,3.6,15-19,100,100,3,3,4,sv,4,4,sv,sv
Marziano Vevey,Valle D'Aosta Blanc De Morgex Et De La Salle,2.5,15-19,12,12,3,2,sv,sv,sv,sv,sv,sv
Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle,2.3,15-19,19,19,sv,3,2,sv,2,2,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle,2.7,10-14,33,47,sv,4,2,sv,sv,2,sv,sv
Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle 20,4.0,30-34,27,14,sv,sv,sv,sv,sv,sv,sv,4
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Rayon,2.0,15-19,3,3,sv,sv,2,sv,sv,sv,sv,sv
Carlo Celegato,Valle D'Aosta Blanc De Morgex Et De La Salle,3.0,10-14,9,13,sv,sv,3,sv,sv,sv,sv,sv
Piero Brunet,Valle D'Aosta Blanc De Morgex Et De La Salle,3.0,10-14,9,13,sv,sv,3,sv,sv,sv,sv,sv
Crotta Delle Meurdzie,Valle D'Aosta Blanc De Morgex Et De La Salle,3.0,15-19,9,9,sv,sv,3,sv,sv,sv,sv,sv
Cave Mont Blanc,Valle D'Aosta Blanc De Morgex Et De La Salle Landeren,3.0,20-24,9,7,sv,sv,3,sv,sv,sv,sv,sv
Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Sette Scalinate Carlo Pavese,3.3,70-74,46,11,sv,sv,sv,sv,3,3,4,sv
Ermes Pavese,Valle D'Aosta Blanc De Morgex Et De La Salle Nathan,2.3,15-19,15,15,sv,sv,sv,sv,3,2,2,sv
