Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2019,2018,2017,2016,2015,2014,2013
Cave Gargantua,Valle D'Aosta Torrette Superieur Labie,2.5,20-24,17,17,3,3,3,2,3,1,sv
Chateau Feuillet,Valle D'Aosta Torrette Superieur,3.0,25-29,12,10,3,3,3,sv,sv,sv,sv
Crotta Di Prado,Valle D'Aosta Torrette,2.3,10-14,9,17,3,1,sv,sv,3,2,sv
Diego Curtaz,Valle D'Aosta Torrette,2.0,10-14,1,2,2,sv,sv,sv,sv,sv,sv
Maison Agricole,Valle D'Aosta Torrette Superieur,2.5,20-24,5,5,3,sv,2,sv,sv,sv,sv
Maison Agricole,Valle D'Aosta Torrette,2.0,15-19,8,10,2,3,2,2,1,sv,sv
Nicola Del Negro,Valle D'Aosta Torrette Dante,2.0,30-34,1,1,2,sv,sv,sv,sv,sv,sv
Di Barrò,Valle D'Aosta Torrette Superieur Ostro,3.0,25-29,4,3,sv,sv,sv,sv,3,sv,sv
Di Barrò,Valle D'Aosta Torrette,3.0,10-14,4,7,3,sv,sv,sv,sv,sv,sv
Grosejan Vins,Valle D'Aosta Torrette Superieur Vigne Rovettaz,2.3,10-14,8,14,3,sv,3,1,sv,sv,sv
Le Grain,Valle D'Aosta Torrette,2.5,10-14,5,10,2,sv,sv,3,sv,sv,sv
Mai Domi,Valle D'Aosta Torrette Superieur Domus Nostra,3.0,20-24,4,4,3,sv,sv,sv,sv,sv,sv
Ottin,Valle D'Aosta Torrette Superieur,4.0,20-24,100,100,4,3,4,5,3,5,sv
La Source,Valle D'Aosta Torrette,1.7,10-14,3,5,2,sv,sv,sv,2,1,sv
Didier Gerbelle,Valle D'Aosta Torrette,2.0,10-14,1,2,2,sv,sv,sv,sv,sv,sv
Les Cretes,Valle D'Aosta Torrette Superiore,3.0,15-19,17,22,sv,3,4,sv,2,sv,sv
Andre Pellissier,Valle D'Aosta Torrette Superieur,3.5,25-29,15,13,sv,4,3,sv,sv,sv,sv
La Source,Valle D'Aosta Torrette Superieur,2.7,15-19,9,12,sv,sv,sv,sv,3,3,2
La Plantze,Valle D'Aosta Torrette Superieur,3.0,35-39,4,2,sv,3,sv,sv,sv,sv,sv
Cave Des Onze Communes,Valle D'Aosta Torrette,2.5,5-9,5,17,sv,3,2,sv,sv,sv,sv
Stefano David,Valle D'Aosta Torrette,3.0,10-14,4,7,sv,sv,3,sv,sv,sv,sv
Anna De Santis,Valle D'Aosta Torrette,3.0,10-14,4,7,sv,sv,sv,3,sv,sv,sv
Nicola Del Negro,Valle D'Aosta Torrette,2.0,10-14,1,2,sv,2,sv,sv,sv,sv,sv
Noussan,Valle D'Aosta Torrette Superieur La Prieure,2.0,20-24,1,1,sv,sv,2,sv,sv,sv,sv
Edoardo Braga,Valle D'Aosta Torrette Superieur La Prieure,2.7,15-19,9,12,sv,3,sv,3,2,sv,sv
Feudo Di San Maurizio,Valle D'Aosta Torrette Superieur La Prieure,3.0,15-19,13,17,sv,sv,4,sv,2,sv,sv
Didier Gerbelle,Valle D'Aosta Torrette Superieur Vigne Tsancognein,3.0,20-24,8,8,sv,sv,sv,3,sv,3,sv
Edoardo Braga,Valle D'Aosta Torrette,2.0,10-14,4,7,sv,sv,2,2,sv,2,sv
Di Barrò,Valle D'Aosta Torrette Superieur,3.0,15-19,8,10,sv,sv,sv,3,3,sv,sv
Didier Gerbelle,Valle D'Aosta Torrette Superieur,3.0,20-24,8,8,sv,sv,sv,3,3,sv,sv
Chateau Feuillet,Valle D'Aosta Torrette,2.0,10-14,4,7,sv,sv,sv,3,1,sv,sv
Feudo Di San Maurizio,Valle D'Aosta Torrette,2.5,10-14,5,10,sv,sv,sv,3,2,sv,sv
Maison Anselmet,Valle D'Aosta Torrette Superieur,2.5,20-24,5,5,sv,sv,sv,2,sv,3,sv
