Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
La Plantze,1935 CC,3.0,50-54,,,3,sv,sv,sv,sv,3,sv,sv,sv,sv
Maison Anselmet,Balos,3.0,125-149,,,sv,sv,sv,sv,sv,sv,sv,sv,sv,3
Andre Pellissier,Bouquet,2.0,25-29,,,sv,sv,sv,sv,2,2,sv,sv,sv,sv
Maison Anselmet,Broblan,2.0,20-24,,,sv,sv,sv,sv,2,2,sv,sv,sv,sv
Les Petits Riens,Comptine D'Automne,3.0,30-34,,,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
La Plantze,El Teemp,2.0,15-19,,,sv,sv,sv,sv,2,2,2,sv,sv,sv
Les Petits Riens,Ici Et Maintenant,2.0,30-34,,,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
La Plantze,Nagott,2.8,30-34,,,sv,sv,sv,sv,3,3,3,2,sv,sv
Cave Monaja,Pret A Boire Rouge,2.0,25-29,,,sv,sv,sv,2,2,sv,sv,sv,sv,sv
Andre Pellissier,Sancto Petro,3.0,35-39,,,3,sv,sv,sv,sv,3,sv,sv,sv,sv
Les Petits Riens,Si,2.5,30-34,,,2,sv,sv,sv,sv,sv,3,sv,sv,sv
La Plantze,Vioux,2.0,20-24,,,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
La Cantina Di Cuneaz,5 Jours,2.0,10-14,,,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Le Vieux Joseph,Clos De Cartesan,3.0,25-29,,,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Edoardo Braga,Incipit Rosso,2.0,10-14,,,sv,sv,sv,sv,sv,sv,2,sv,2,sv
Mai Domi,Iocus,2.0,15-19,,,2,sv,sv,sv,2,sv,sv,sv,sv,sv
Danilo Thomain,Maurice,2.0,15-19,,,sv,sv,sv,sv,sv,sv,2,sv,sv,sv
Mont Reve,Rouge D'Antan,3.0,15-19,,,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Feudo Di San Maurizio,Saro Djablo CALOU,3.0,20-24,,,sv,sv,sv,sv,sv,3,3,3,sv,sv
Noussan,St Ours,3.0,15-19,,,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Mai Domi,Vigna Delle Lumache,3.0,35-39,,,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Maison Anselmet,Le Prisonnier,3.8,70-74,,,3,3,4,4,5,4,sv,sv,sv,sv
Rosset Terroir,Trasor 750,2.0,15-19,,,2,sv,sv,sv,2,2,sv,sv,sv,sv
Cave Gargantua,Gargantua Rouge,2.0,15-19,,,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
Edoardo Braga,Scaccomatto,3.0,30-34,,,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Chateau Feuillet,La Table Ronde,2.0,20-24,,,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
La Cantina Di Cuneaz,L'Entso,3.0,20-24,,,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Diego Curtaz,Di Meun,2.0,10-14,,,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Didier Gerbelle,Fils Du Pays,2.0,20-24,,,2,sv,sv,sv,sv,sv,sv,sv,sv,sv
Institut Agricole Regional,Le Doyen,3.0,15-19,,,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Ottin,Clairet,4.0,40-44,,,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Tanteun E Marietta,Lo Toque,3.0,15-19,,,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
