Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004
Albino Armani,Amarone,3.0,30-34,0.52,01,sv,sv,3,3,sv,sv,3,sv,3,sv,sv,sv,sv,sv
Albino Armani,Amarone Classico Riserva Cuslanus,4.0,40-44,1.16,02,sv,sv,sv,4,sv,4,4,sv,sv,sv,sv,sv,sv,sv
Albino Armani,Amarone Classico Cuslanus,3.0,35-39,0.13,00,sv,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Aldegheri,Amarone Classico Riserva,4.0,50-54,1.16,01,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,4,4,sv,4
Aldegheri,Amarone Classico Santambrogio,3.0,40-44,0.26,00,sv,sv,sv,3,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Allegrini,Amarone Classico,3.8,80-84,2.58,02,sv,3,5,4,3,sv,4,4,sv,sv,sv,sv,sv,sv
Antolini,Amarone Classico Ca Coato,3.3,50-54,0.65,01,sv,sv,3,3,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Antolini,Amarone Classico Moropio,3.3,40-44,0.78,01,sv,4,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Begali,Amarone Classico,3.0,45-49,0.65,01,sv,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Begali,Amarone Classico Riserva Monte Ca Bianca,4.3,55-59,2.31,03,sv,sv,sv,4,sv,5,4,4,sv,sv,sv,sv,sv,sv
Benedetti Corte Antica,Amarone Classico,3.0,35-39,0.13,00,sv,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Benedetti Corte Antica,Amarone Classico Etichetta Red,3.0,35-39,0.13,00,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Benedetti Corte Antica,Amarone Croce Del Gal Black,4.5,50-54,1.54,02,sv,sv,sv,sv,sv,sv,sv,5,sv,4,sv,sv,sv,sv
Bertani,Amarone Classico,4.3,100-124,2.82,02,sv,sv,sv,sv,sv,sv,5,3,4,5,sv,sv,sv,sv
Bertani,Amarone Valpantena,3.0,45-49,0.65,01,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
