Vino,Voto Medio,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Bologna Bianco,2.6,0sv,2,3,3,2,3,0sv,0sv,0sv,0sv,0sv
Bologna Rosso,3,0sv,3,3,3,3,0sv,0sv,0sv,0sv,0sv,0sv
Bologna Rosso Diggioanni,3,0sv,0sv,0sv,0sv,0sv,3,0sv,0sv,0sv,0sv,0sv
Ca Novina Brut,3,0sv,0sv,0sv,0sv,0sv,0sv,0sv,0sv,0sv,0sv,3
Merlot Affederico,3,0sv,0sv,0sv,0sv,0sv,3,0sv,0sv,0sv,0sv,0sv
Permartina Vendemmia Tardiva,4.5,0sv,0sv,0sv,0sv,5,0sv,0sv,0sv,0sv,0sv,4
Pignoletto Classico Ammestesso,3.5,0sv,0sv,0sv,0sv,0sv,0sv,4,0sv,0sv,3,0sv
Pignoletto Superiore,3,3,0sv,3,3,3,3,0sv,0sv,0sv,0sv,0sv
Pignoletto Vivace,2,2,0sv,0sv,0sv,2,2,0sv,0sv,0sv,0sv,0sv
Primedizione Cuvée,3,3,3,0sv,3,3,0sv,0sv,0sv,0sv,0sv,0sv
