Vino,Voto Medio,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Barbera Carabas,3.3,0sv,0sv,3,3,0sv,5,0sv,2,0sv,0sv
Cabernet Sauvignon Corbeau,5,0sv,0sv,0sv,0sv,5,5,0sv,5,0sv,0sv
Chardonnay Selin Dl Amari,2.8,0sv,3,2,3,3,3,0sv,0sv,0sv,0sv
Come La Pantera e I Lupi Nella Sera,2.8,0sv,0sv,0sv,0sv,2,4,3,2,0sv,0sv
Gutturnio Frizzante,2,0sv,0sv,0sv,0sv,2,0sv,0sv,0sv,0sv,0sv
Gutturnio Superiore,2.7,0sv,0sv,0sv,0sv,0sv,3,2,3,0sv,0sv
Gutturnio Superiore L Ala del Drago,2.3,0sv,0sv,0sv,3,3,1,0sv,2,0sv,0sv
Le Rane,4,0sv,0sv,0sv,0sv,0sv,4,0sv,0sv,4,0sv
Malvasia Boccadirosa,3.8,5,3,2,5,5,3,0sv,0sv,0sv,0sv
Nevermore,4,0sv,0sv,0sv,0sv,0sv,0sv,0sv,0sv,0sv,4
On Attend Les Invites Brut Rose,2,0sv,0sv,0sv,0sv,0sv,0sv,0sv,2,0sv,0sv
Pas Dose,3,0sv,0sv,0sv,0sv,3,0sv,0sv,0sv,0sv,0sv
Pinot Nero Achab,2.2,0sv,0sv,3,2,2,3,0sv,1,0sv,0sv
Sauvignon I Nani e Le Ballerine,3.5,0sv,4,4,3,3,0sv,0sv,0sv,0sv,0sv
