Vino,Media Grezza,Prezzo,VScore,QP,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Valle D'Aosta Bianco Daphne,3.0,30-34,100,100,sv,sv,sv,3,3,sv,3,3,sv,sv
Valle D'Aosta Bianco Vin De La Fee,3.0,15-19,50,94,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Valle D'Aosta Pinot Gris,2.7,20-24,8,6,sv,sv,sv,3,sv,sv,3,2,sv,sv
Gargantua Blanc,3.0,10-14,nd,nd,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Mon Dada,3.0,20-24,nd,nd,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Valle D'Aosta Pinot Noir,3.5,15-19,19,18,sv,sv,sv,sv,3,4,sv,sv,sv,sv
Valle D'Aosta Pinot Noir Pierre,2.3,25-29,8,12,sv,sv,sv,2,sv,sv,3,2,sv,sv
Valle D'Aosta Rosso Gamaret,4.0,20-24,67,67,sv,sv,sv,5,3,sv,sv,sv,sv,sv
Valle D'Aosta Rosso Impasse,2.5,20-24,18,18,sv,sv,sv,sv,3,2,3,2,sv,sv
Valle D'Aosta Torrette Superieur Labie,2.5,20-24,17,17,sv,sv,sv,3,3,3,2,3,1,sv
Gargantua Rouge,2.0,15-19,nd,nd,sv,sv,sv,sv,sv,sv,sv,2,sv,sv
