Vino,Media Grezza,Prezzo,Vscore,QP,2020,2019,2018,2017,2016,2014,2008
Valle D'Aosta Chardonnay,3.0,10-14,4,13,sv,3,sv,sv,sv,sv,sv
Valle D'Aosta Chardonnay Le Vin De Michel,3.0,25-29,4,6,sv,3,sv,sv,sv,sv,sv
Valle D'Aosta Cornalin,3.0,60-64,nd,nd,sv,sv,sv,sv,sv,sv,3
Valle D'Aosta Cornalin Vigne Rovettaz,2.0,10-14,9,14,sv,sv,sv,sv,2,sv,sv
Valle D'Aosta Fumin Merlette,3.0,30-34,7,6,sv,sv,3,sv,sv,sv,sv
Valle D'Aosta Fumin Vigne Rovettaz,2.3,20-24,15,19,sv,2,3,sv,2,2,sv
Valle D'Aosta Petite Arvine Chatel Argent,4.0,10-14,13,23,4,sv,sv,sv,sv,sv,sv
Valle D'Aosta Petite Arvine Vigne Rovettaz,3.0,15-19,13,16,sv,3,3,3,sv,sv,sv
Valle D'Aosta Pinot Noir,3.0,10-14,11,17,sv,sv,3,sv,sv,sv,sv
Valle D'Aosta Pinot Noir Vigne Tzeriat,2.7,15-19,5,10,sv,3,3,sv,2,sv,sv
Valle D'Aosta Torrette Superieur Vigne Rovettaz,2.3,10-14,8,14,sv,3,sv,3,1,sv,sv
