Vino,Produttore,Regione,Vitigni,Tipologia,Anno,Posizione
Amarone della Valpolicella Classico Campo Inferi,Brunelli,Veneto (IT),Corvina Corvinone Rondinella,Rosso fermo,2015,sp
Valpolicella Superiore Maternigo,Tedeschi,Veneto (IT),Corvina Corvinone Rondinella,Rosso fermo,2016,sp
Amarone Classico Riserva Capitel Monte Olmi,Tedeschi,Veneto (IT),Corvina Corvinone Rondinella,Rosso fermo,2013,sp
Ben Ryé,Donnafugata,Sicilia (IT),Zibibbo,Bianco passito,2019,sp
Achab,Luretta,Emilia (IT),Pinot Nero,Rosso fermo,?,sp
Selin Dl Amari,Luretta,Emilia (IT),Pinot nero,Spumante metodo classico,?,sp
"I Nani e Le Ballerine ",Luretta,Emilia (IT),Sauvignon blanc,Bianco fermo,?,sp
Gutturnio L'Ala del Drago,Luretta,Emilia (IT),Barbera Croatina,Rosso fermo,?,sp
Boccadirosa,Luretta,Emilia (IT),Malvasia di Candia Aromatica,Bianco fermo,?,sp
Sorriso di Cielo,La Tosa,Emilia (IT),Malvasia di Candia Aromatica,Bianco fermo,?,sp
Nascetta,Ettore Germano,Piemonte (IT),Nascetta,Bianco fermo in anfora,2019,sp
Amarone Classico Sant'Urbano,Speri,Veneto (IT),Corvina Corvinone Rondinella,Rosso fermo,2017,C4c
Vitalba,Tre monti,Romagna (IT),Albana,Bianco fermo in anfora,2019,C6c
Nerimatti,Paolo leo,Puglia (IT),Negramaro,Rosso fermo,2012,C1a
Amarone Ca Bianca,Begali,Veneto (IT),Corvina Corvinone Rondinella,Rosso fermo,2013,C1b
Chiaromonte riserva,Chiaromonte,Puglia (IT),Primitivo,Rosso fermo,2013,C1c
Barbera Vigna Scarrone,Vietti,Piemonte (IT),Barbera,Rosso fermo,2018,C2a
Muro Sant Angelo Contrada Barbatto,Chiaromonte,Puglia (IT),Primitivo,Rosso fermo,2010,C2b
Nebbiolo Perbacco,Vietti,Piemonte (IT),Nebbiolo,Rosso fermo,2019,C2c
Barbaresco,Rivetti,Piemonte (IT),Nebbiolo,Rosso fermo,2015,C3a
Cornalin,Le Clocher,Valle d Aosta (IT),Cornalin,Rosso fermo,2020,C3b
Barolo,Ceretto,Piemonte (IT),Nebbiolo,Rosso fermo,2016,C3b
Chiaromonte Riserva,Chiaromonte,Puglia (IT),Primitivo,Rosso fermo,2014,C4a
Chiaromonte Rosè,Chiaromonte,Puglia (IT),Pinot nero Primitivo,Rosato spumante,2017,C4b
Barolo Castiglione,Vietti,Piemonte (IT),Nebbiolo,Rosso fermo,2017,C5a
Millesime,Mumm,Champagne (FR),Pinot nero Chardonnay,Bianco champagne,2013,C5b
Barbaresco,Ceretto,Piemonte (IT),Nebbiolo,Rosso fermo,2017,C5c
Amarone Il Bosco,Cesari,Veneto (IT),Corvina - Rondinella,Rosso fermo,2015,C6a
Muro Sant Angelo Contrada Barbatto,Chiaromonte,Puglia (IT),Primitivo,Rosso fermo,2017,sp
Muro Sant Angelo Contrada Barbatto,Chiaromonte,Puglia (IT),Primitivo,Rosso fermo,2014,sp
Maccone Rosso 17,Angiuli,Puglia (IT),Primitivo,Rosso fermo,2019,sp
Pouilly Fume Tonelum,Caves de Pouilly sur Loire,Loira (FR),Sauvignon blanc,Bianco fermo,2017,sp
Maccone Primitivo,Angiuli,Puglia (IT),Primitivo,Rosso fermo,2019,sp
Primitivo Contrada Scappagnano,Chiaromonte,Puglia (IT),Primitivo,Rosso fermo,2019,sp
Schneeberger,Steiermark,Austria,"Zeigelt ",Rosso fermo,2017,sp
Kimia,Chiaromonte,Puglia (IT),Pinot nero,Rosso fermo,2021,sp
Bianco,Cascina Fornace,Emilia (IT),?,Bianco fermo,?,sp
Bouzy Grand Cru,Herber Beaufort,Champagne (FR),?,Bianco champagne,sa,sp
Bouzy Grand Cru 2016,Herber Beaufort,Champagne (FR),?,Bianco champagne,2016,sp
Monfort Rose,Cantine Monfort,Trentino (IT),?,Rosato spumante,sa,sp
Maccone Primitivo rosato,Angiuli,Puglia (IT),Primitivo,Rosato fermo,2020,sp
Sangue del Diavolo,Ca di Rajo,Veneto (IT),Raboso del Piave,Rosso fermo,2017,sp
Ribolla Gialla,Podversic,Friuli (IT),Ribolla Gialla,Bianco fermo in anfora,2017,sp
