Categoria-1,Ref,Tipologia,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002161,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2015,Cave Gargantua,Valle D'Aosta Bianco Daphne,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,25-29,Chardonnay 75% – Pinot Grigio 25%,14,1k,Volauvent con fonduta,12 mesi in barrique,"Giallo paglierino con tenui riflessi dorati. Al naso è in evidenza l'impronta di pepe bianco  e di eucalipto, completata da sensazioni vanigliate e di cannella. Sentori freschi di pompelmo rosa si alternano a ricordi di cioccolato bianco e pesca sciroppata. Al palato pregevole equilibrio gustativo. Chiusura sapida con richiami di frutta secca e vaniglia. Riposa per 12 mesi in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002161,Bianco Fermo,,,,,,3,86,3,86,3,86,2016,Cave Gargantua,Valle D'Aosta Bianco Daphne,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,35-39,Chardonnay 75% – Pinot Grigio 25%,14,1k,Zucchine ripiene,12 mesi in barrique,"Paglierino vivace. Il bouquet si apre su sensazioni di pesca a polpa bianca e ananas. Profumi freschi di bazar orientali, vaniglia e  un leggero miele millefiori arricchiscono il ventaglio e conquistano il cuore. All'assaggio risulta ben integrato nelle percezioni gustative, dalla trama sapida, con ritorni di fiori di ginestra e spezie. Fermenta e matura in barrique per 12 mesi ",,na,na,na,na,na,Italia,2,,,
,0002161,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2018,Cave Gargantua,Valle D'Aosta Bianco Daphne,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,30-34,Chardonnay 75% – Pinot Grigio 25%,14,1k,nd,12 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002161,Bianco Fermo,,,,,,3,87,3,86,3,88,2019,Cave Gargantua,Valle D'Aosta Bianco Daphne,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,30-34,Chardonnay 75% – Pinot Grigio 25%,14,1k,nd,12 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002161-1,Bianco Fermo,1.35,100,3.13,100,3.0,3★,86.3,3★,86.0,3★,87.0,,Cave Gargantua,Valle D'Aosta Bianco Daphne,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,30-34,Chardonnay 75% – Pinot Grigio 25%,14,1k,Volauvent con fonduta – Zucchine ripiene,12 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002163,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2019,Cave Gargantua,Valle D'Aosta Bianco Vin De La Fee,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,15-19,Traminer Aromatico 90% – Prié Blanc 10%,14.5,1k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002163,Bianco Fermo,,,,,,3,86,nd,nd,3,86,2020,Cave Gargantua,Valle D'Aosta Bianco Vin De La Fee,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,15-19,Traminer Aromatico 90% – Prié Blanc 10%,14.5,1k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0002163-1,Bianco Fermo,0.68,50,2.94,94,3.0,3★,86.0,3★,86.0,3★,86.0,,Cave Gargantua,Valle D'Aosta Bianco Vin De La Fee,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,15-19,Traminer Aromatico 90% – Prié Blanc 10%,14.5,1k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0002164,Bianco Fermo,,,,,,3,86,3,86,nd,nd,2018,Cave Monaja,Valle D'Aosta Bianco Stau,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,30-34,Chardonnay 75% – Muscat blanc a petit grains 20% – Traminer aromatico 20%,13,1k,Trota alla brace con crema di toma,12 mesi in barrique,"Giallo paglierino, dai lucenti riflessi dorati. Il ventaglio olfattivo si apre all'insegna dei fiori  di camomilla, con cenni di pesca e banana Completano il profilo tracce di miele. Il sorso  è fresco e giovanile; sfuma con una delicata scia sapida e un finale caratterizzato da ricordi fruttati e di erbe aromatiche. Sosta per 12 mesi in barrique di rovere. ",,na,na,na,na,na,Italia,2,,,
,0002164-1,Bianco Fermo,0.34,25,0.78,25,3.0,3★,nd,3★,nd,nd,nd,,Cave Monaja,Valle D'Aosta Bianco Stau,Valle D'Aosta Bianco,,DOC,Valle D'Aosta,30-34,Chardonnay 75% – Muscat blanc a petit grains 20% – Traminer aromatico 20%,13,1k,Trota alla brace con crema di toma,12 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
