Sentore,Valore,Famiglia
caprifoglio,0,1
ciclamino,0,1
ibisco,0,1
iris,0,1
fresia,0,1
garofano,0,1
geranio,0,1
glicine,0,1
lavanda,0,1
lillà,0,1
malva,0,1
mammola,0,1
peonia,0,1
rosa,0,1
viola/etta,66,1
amarena,0,2
anguria,0,2
arancia,0,2
carruba,0,2
chinotto,0,2
ciliegia,0,2
fragola,66,2
fragolina,0,2
f. in gelatina,0,2
frutti di bosco,100,2
gelso,0,2
lamponi,66,2
mandarino,0,2
mandorla,0,2
marasca,0,2
melagrana,0,2
mirtillo,0,2
mora,66,2
pompelmo rosa,0,2
prugna,0,2
ribes,66,2
susina,0,2
visciola,0,2
acero,0,3
basilico,0,3
elicriso,0,3
erba medica,0,3
erba sfalciata,66,3
erbe agresti,0,3
graspo,33,3
felce,0,3
fieno,0,3
maggiorana,0,3
menta,0,3
pacciame,0,3
prugnolo,0,3
rabarbaro,0,3
rosmarino,0,3
sottobosco,0,3
gesso,0,4
ruggine,0,4
caffè,0,6
tabacco,0,6
vinoso,66,7
fragrante,0,11
china,0,10
cipria,0,10
confetto,0,10
iodio,0,10
lievito,0,10
liquirizia,0,10
pan brioche,0,10
resina,0,10
zucchero a velo,0,10
zucchero filato,0,10
