Famiglia,Sentore,Valore
1,ciclamino,100
1,geranio,100
1,glicine,100
1,iris,100
1,lavanda,100
1,peonia,100
1,pot-pourri,100
1,rosa canina,100
1,rosa,100
1,sambuco,100
1,viola mammola,100
1,viola,100
2,amarena,100
2,arancia,100
2,bergamotto,100
2,buccia d'arancia,100
2,carruba,100
2,cassis,100
2,cedro,100
2,chinotto,100
2,ciliegia,100
2,f. disidratata,100
2,f. distillata,100
2,f. in confettura,100
2,f. in gelatina,100
2,f. sciroppata,100
2,f. sotto spirito,100
2,fragola,100
2,frutta candita,100
2,frutti di bosco,100
2,gelso,100
2,lampone,100
2,macis,100
2,marasca,100
2,melagrana,100
2,mirtillo,100
2,mirto,100
2,mora,100
2,prugna,100
2,ribes,100
2,uva passa,100
3,alloro,100
3,balsamico,100
3,bosso,100
3,cipresso,100
3,corteccia,100
3,e. aromatiche,100
3,erba sfalciata,100
3,erbe officinali,100
3,fieno,100
3,finocchio,100
3,fungo,100
3,genziana,100
3,humus,100
3,macchia mediterranea,100
3,maggiorana,100
3,mallo di noce,100
3,melissa,100
3,menta,100
3,pacciame,100
3,pino,100
3,rabarbaro,100
3,rosmarino,100
3,sottobosco,100
3,tartufo,100
3,terriccio,100
3,timo,100
3,verbena,100
4,argilla,100
4,ferro,100
4,grafite,100
4,inchiostro,100
4,ruggine,100
4,torba,100
5,anice stellato,100
5,c. di garofano,100
5,cannella,100
5,cardamomo,100
5,coriandolo,100
5,cumino,100
5,curcuma,100
5,curry,100
5,ginepro,100
5,ginepro,100
5,noce moscata,100
5,pepe bianco,100
5,pepe nero,100
5,pepe rosa,100
5,sandalo,100
5,vaniglia,100
5,zafferano,100
5,zenzero,100
6, catrame,100
6,cacao,100
6,caffè,100
6,cioccolato,100
6,fava tonka,100
6,fumo,100
6,mandorla tostata,100
6,nocciola tostata,100
6,orzo tostato,100
6,pipa,100
6,tabacco,100
8,cuoio,100
8,ematico,100
8,pellame,100
9,alchermes,100
9,ceralacca,100
9,cioccolato al rum,100
9,iodio,100
9,smalto,100
10,amaro alle erbe,100
10,biscotto,100
10,boero,100
10,caramella,100
10,caramello,100
10,cera d'api,100
10,china,100
10,cipria,100
10,eucalipto,100
10,foglia di tè,100
10,incenso,100
10,legno (boisè),100
10,liquirizia,100
10,marron glacé,100
10,miele,100
10,pan pepato,100
10,propoli,100
10,resina,100
10,scatola di sigari,100
10,tamarindo,100
10,vermouth,100
