Famiglia,Sentore,Valore
,1rosa tea,100
1,giaggiolo,100
1,glicine,100
1,iris,100
1,lavanda,100
1,peonia,100
1,pot-pourri,100
1,ranuncolo,100
1,rosa,100
1,r. damascena,100
1,viola/etta,100
2,amarena,100
2,arancia,100
2,carruba,100
2,cassis,100
2,chinotto,100
2,ciliegia,100
2,fico,100
2,fiore di veccia,100
2,fragola,100
2,fragolina,100
2,frutta candita,100
2,f. in confettura,100
2,f. in gelatina,100
2,f. sotto spirito,100
2,frutti di bosco,100
2,gelso,100
2,lampone,100
2,macis,100
2,mandorla,100
2,marasca,100
2,melagrana,100
2,mirtillo,100
2,mirto,100
2,mora,100
2,pesca,100
2,prugna,100
2,ribes,100
2,susina,100
2,visciola,100
3,alloro,100
3,balsamico,100
3,cardo,100
3,cipresso,100
3,corteccia,100
3,dragoncello,100
3,erba medica,100
3,erba sfalciata,100
3,e. aromatiche,100
3,erbe officinali,100
3,eucalipto,100
3,felce,100
3,finocchio,100
3,foglia di cappero,100
3,f. di pomodoro,100
3,foglia di tè,100
3,friggitello,100
3,fungo,100
3,humus,100
3,lentisco,100
3,m. mediterranea,100
3,mallo di noce,100
3,malva,100
3,melissa,100
3,menta,100
3,muschio,100
3,origano,100
3,ortica,100
3,peperoncino,100
3,peperone,100
3,rabarbaro,100
3,santoreggia,100
3,sottobosco,100
3,tartufo,100
3,timo,100
4,cenere,100
4,ferro,100
4,grafite,100
4,pietra focaia,100
4,pietrisco,100
4,polvere da sparo,100
4,salmastro,100
4,talco,100
5,anice,100
5,cannella,100
5,cardamomo,100
5,c. di garofano,100
5,ciclamino,100
5,cumino,100
5,ginepro,100
5,noce moscata,100
5,pepe bianco,100
5,pepe nero,100
5,pepe rosa,100
5,pepe verde,100
5,sandalo,100
5,senape,100
5,vaniglia,100
5,zenzero,100
6,cacao,100
6,caffè,100
6,catrame,100
6,cioccolato,100
6,fumo,100
6,mandorla tostata,100
6,pinolo tostato,100
6,scatola di sigari,100
6,tabacco,100
8,cuoio,100
9,cera,100
9,iodio,100
10,angostura,100
10,china,100
10,cipria,100
10,incenso,100
10,legna arsa,100
10,legno (boisè),100
10,liquirizia,100
10,oliva,100
10,pino,100
10,resina,100
10,tamarindo,100
