Sentore,Valore,Famiglia
caprifoglio,100,1
ciclamino,100,1
ibisco,100,1
iris,100,1
fresia,100,1
garofano,100,1
geranio,100,1
glicine,100,1
lavanda,100,1
lillà,100,1
malva,100,1
mammola,100,1
peonia,100,1
rosa,100,1
viola/etta,100,1
amarena,100,2
anguria,100,2
arancia,100,2
carruba,100,2
chinotto,100,2
ciliegia,100,2
fragola,100,2
fragolina,100,2
f. in gelatina,100,2
frutti di bosco,100,2
gelso,100,2
lamponi,100,2
mandarino,100,2
mandorla,100,2
marasca,100,2
melagrana,100,2
mirtillo,100,2
mora,100,2
pompelmo rosa,100,2
prugna,100,2
ribes,100,2
susina,100,2
visciola,100,2
acero,100,3
basilico,100,3
elicriso,100,3
erba medica,100,3
erba sfalciata,100,3
erbe agresti,100,3
graspo,100,3
felce,100,3
fieno,100,3
maggiorana,100,3
menta,100,3
pacciame,100,3
prugnolo,100,3
rabarbaro,100,3
rosmarino,100,3
sottobosco,100,3
gesso,100,4
ruggine,100,4
caffè,100,6
tabacco,100,6
vinoso,100,7
fragrante,100,11
china,100,10
cipria,100,10
confetto,100,10
iodio,100,10
lievito,100,10
liquirizia,100,10
pan brioche,100,10
resina,100,10
zucchero a velo,100,10
zucchero filato,100,10
