Categoria-1,Ref,OLDVSCORE,RS,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000593,,,,,,4,2013,Alberto Giacobbe,Cesanese Del Piglio Superiore Riserva Lepanto,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,89,,89,,na,Rosso fermo,15-19,Cesanese d'affile 100%,14,2k,Polenta al ragù bianco di cinghiale,12 mesi in acciaio + 14 mesi in tonneau + 12 mesi in bottiglia,"Colore granato profondo e luminoso. Gli aromi varietali del vitigno si fondono con raffinatezza a quelli del legno, utilizzato con maestria: mirtillo, prugna in confettura, buccia d'arancia, cioccolato fondente e tabacco avana fino a  un leggero etereo di smalto. Il sorso è pieno  e appagante, con l'alcol ben integrato e il tannino levigato e avvolgente. Ottima pulizia e persistenza gustativa.",,na,na,na,na,na,Italia,2,,,
,0000593,,,,,,5,2014,Alberto Giacobbe,Cesanese Del Piglio Superiore Riserva Lepanto,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,2k,Crostoni di polenta con lepre in salmì,12 mesi in acciaio + 14 mesi in tonneau + 12 mesi in bottiglia,"Annata non eccelsa, ma come spesso  accade dalle difficoltà si traggono gli aspetti migliori. Un manto rubino compatto e luminoso. Ampiezza olfattiva di raffinato respiro: un trionfo di frutti di bosco scuri adagiati su un prato di iris e viole mammole. Vira con eleganza su rimandi di tabacco dolce e liquirizia, La setosa trama tannica si compenetra nella spiccata freschezza, preludio di un lunghissimo e soave finale. ",,na,na,na,na,na,Italia,2,,,
,0000593,,,,,,5,2015,Alberto Giacobbe,Cesanese Del Piglio Superiore Riserva Lepanto,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,2k,Agnello al forno con ratatouille di verdure,12 mesi in acciaio + 14 mesi in tonneau + 12 mesi in bottiglia,"Intenso colore granato. Bouquet eccellente, intessuto di ricordi eterei di smalto e vernice, tartufo nero, funghi pioppini, viola appassita, pot-pourri di fiori secchi, cioccolato, confettura di visciole, cassis e arancia sanguinella L'assaggio è vigoroso, gradevolmente fresco ed elegante, con un tannino ben levigato. L’equilibrio al gusto è garantito dalla dotazione calorica ottimamente integrata. ",,na,na,na,na,na,Italia,2,,,
,0000593,,,,,,4,2016,Alberto Giacobbe,Cesanese Del Piglio Superiore Riserva Lepanto,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,90,,90,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,2k,Pancetta di maialino con purea di patate alle erbe,12 mesi in acciaio + 12 mesi in tonneau + 12 mesi in bottiglia,"Rosso granato con riflessi rubino. Variegato profilo odoroso: emergono sensazioni di visciola, amarena sotto spirito e mora in confettura; seguono aromi più vegetali di sottobosco, humus e coriandolo; in chiusura una traccia di legno di cedro e un soffio di cipria. Intensità decisa, grazie a un tannino in equilibrio con l'alcol; la struttura, pur imponente, non è mai prevaricante; ottima la persistenza",,na,na,na,na,na,Italia,2,,,
,0000593,,,,,,5,2017,Alberto Giacobbe,Cesanese Del Piglio Superiore Riserva Lepanto,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,2k,Carrè di agnello al timo,12 mesi in acciaio + 12 mesi in tonneau + 12 mesi in bottiglia,"Manto granato con bagliori rubino. Intrigante l'olfatto, connotato da frutta matura e in confettura: amarene, more di rovo e visciole sotto spirito; petali di rosa e fiori di lillà impreziosiscono il bouquet. Pepe nero, ginepro, caffè e tabacco si liberano in chiusura, tra echi balsamici. Sorso pieno, morbido e avvolgente. La trama tannica, fitta e ben integrata nella struttura, è in perfetto equilibrio con la imponente dotazione alcolica. Persistenza lunga e indelebile nei ricordi fruttati e speziati.",,na,na,na,na,na,Italia,2,,,
,0000593,,,,,,5,2018,Alberto Giacobbe,Cesanese Del Piglio Superiore Riserva Lepanto,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,2k,Anticuchos con couscous,12 mesi in acciaio + 12 mesi in tonneau + 12 mesi in bottiglia,"Manto granato di buona fittezza e luce. Peonia, rosa canina, ribes nero, pepe, tracce resinose di ginepro, bergamotto e tamarindo definiscono un profilo olfattivo di estrema eleganza. Equilibrato e avvolgente il palato, con tannino levigato che accompagna nel lungo finale di spezie e frutta rossa. ",,na,na,na,na,na,Italia,2,,,
,0000593-1,13.93,78,2.88,49,4.7,4★-5★,,Alberto Giacobbe,Cesanese Del Piglio Superiore Riserva Lepanto,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,na,,na,,na,Rosso fermo,25-29,Cesanese d'affile 100%,14.5,2k,Polenta al ragù bianco di cinghiale – Crostoni di polenta con lepre in salmì – Agnello al forno con ratatouille di verdure – Pancetta di maialino con purea di patate alle erbe – Carrè di agnello al timo – Anticuchos con couscous,12 mesi in acciaio + 12-14 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000585,,,,,,2,2019,Casale Della Ioria,Cesanese Del Piglio Zero S,Cesanese Del Piglio,,DOCG,Lazio,84,,84,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,4k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0000585-1,0.12,1,0.05,1,2.0,3★,,Casale Della Ioria,Cesanese Del Piglio Zero S,Cesanese Del Piglio,,DOCG,Lazio,na,,na,,na,Rosso fermo,10-14,Cesanese d'affile 100%,14,4k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000586,,,,,,5,2013,Casale Della Ioria,Cesanese Del Piglio Superiore Riserva Torre Del Piano,Cesanese Del Piglio,Superiore – Riserva,DOCG,Lazio,91,,91,,na,Rosso fermo,20-24,Cesanese d'affile 100%,14.5,4k,Garofolato di Veroli,8 mesi in botte + 6 mesi in bottiglia,"Uve provenienti da un solo vigneto ai piedi dei monti Ernici e selezione della materia prima con basse rese per ettaro sono solo alcuni degli ingredienti di questo vino esemplare. Rubino  di buona concentrazione. Si apre all'olfatto  con note fruttate mature di prugna e marasca, arancia sanguinella, macchia mediterranea, chiodi di garofano, con sfumature balsamiche ed eteree. Al gusto è decisamente caldo e avvolgente, con una alcolicità molto ben bilanciata da ricchezza di estratti e freschezza",,na,na,na,na,na,Italia,2,,,
