Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero,,,,,,,,,,,,,,,,
,0000001,4,2012,Barone Cornacchia,Montepulciano Vizarro,Montepulciano d'Abruzzo Colline Teramane,,DOCG,Abruzzo,15-19,89,89,Rosso fermo,Montepulciano 100%,14.5,,Cinghiale in umido,30 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000001,3,2013,Barone Cornacchia,Montepulciano Vizarro,Montepulciano d'Abruzzo Colline Teramane,,DOCG,Abruzzo,15-19,88,88,Rosso fermo,Montepulciano 100%,14.5,,Castrato alla brace,30 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000001,4,2014,Barone Cornacchia,Montepulciano Vizarro,Montepulciano d'Abruzzo Colline Teramane,,DOCG,Abruzzo,15-19,90,90,Rosso fermo,Montepulciano 100%,14.5,,Capriolo in salmì,30 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000001,4,2015,Barone Cornacchia,Montepulciano Vizarro,Montepulciano d'Abruzzo Colline Teramane,,DOCG,Abruzzo,15-19,90,90,Rosso fermo,Montepulciano 100%,14.5,,Pasta alla teramana,30 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000001,5,2016,Barone Cornacchia,Montepulciano Vizarro,Montepulciano d'Abruzzo Colline Teramane,,DOCG,Abruzzo,15-19,93,93,Rosso fermo,Montepulciano 100%,14.5,,Costine d'agnello alla brace,30 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000001,5,2017,Barone Cornacchia,Montepulciano Vizarro,Montepulciano d'Abruzzo Colline Teramane,,DOCG,Abruzzo,15-19,91,91,Rosso fermo,Montepulciano 100%,14.5,,Cosciotto d'agnello al forno,30 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000001-1,3★-5★,,Barone Cornacchia,Montepulciano Vizarro,Montepulciano d'Abruzzo Colline Teramane,,DOCG,Abruzzo,15-19,na,na,Rosso fermo,Montepulciano 100%,14.5,,Cinghiale in umido – Castrato alla brace – Capriolo in salmì – Pasta alla teramana – Costine d'agnello alla brace – Cosciotto d'agnello al forno,30 mesi in barrique,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000002,5,2011,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,30-34,91,91,Rosso fermo,Nero d'Avola 100%,14.5,,Ravioli di ricotta e maggiorana con sugo di maiale,24 mesi in botte grande,"Splendido manto rubino vivo, concentrato. Bouquet vigoroso, intrigante e ricco di sfumature. | profumi di frutta in confettura e sotto spirito, dalla prugna al gelso, e le note floreali, che ricordano una rosa in infusione, precedono aromi speziati di pepe nero e curcuma, eleganti sentori di liquirizia e di erbe aromatiche, rinfrescanti effluvi balsamici e minerali. Sorso pieno, avvolgente, vellutato, vivacizzato dalla freschezza ancora ben presente e da una trama tannica in evoluzione, ma già integrata nella struttura. Lunghissima persistenza, finale sapido con richiami balsamici. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000002,3,2012,Gulfi,Nerobufaleffj,Sicilia,,DOC,Sicilia,30-34,87,87,Rosso fermo,Nero d'Avola 100%,14.5,,nd,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000002,3,2013,Gulfi,Nerobufaleffj,Sicilia,,DOC,Sicilia,30-34,87,87,Rosso fermo,Nero d'Avola 100%,14.5,,nd,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000002,3,2014,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,35-39,88,88,Rosso fermo,Nero d'Avola 100%,14.5,,nd,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000002,5,2016,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,45-49,93,93,Rosso fermo,Nero d'Avola 100%,14.5,,Tournedos alla Rossini,24 mesi in botte grande,"Rubino denso e profondo arricchito da sfumature ancora porpora. All'olfatto è intenso, deciso ed elegante: apre con un profumato mazzetto di viola, glicine e lavanda, poi subito emergono mora di rovo, prugna e mirtillo. Pepe nero, vaniglia e noce moscata inebriano il naso, seguiti da cuoio e tabacco su una scia mentolata. Il sorso è potente e avvolgente, caldo per la significativa presenza alcolica, ma bilanciato nella sensazione gustativa dalla freschezza e da una trama tannica  fitta, vellutata, ma ancora scalpitante. Finale ammandorlato di lunghissima persistenza.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000002,5,2017,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,45-49,91,91,Rosso fermo,Nero d''Avola 100%,14.5,,Carrè di agnello al forno,24 mesi in botte grande,"Manto rubino impenetrabile, quasi inchiostro. Fragranze iniziali di rosa, violetta e lavanda  si intrecciano ad amarena sotto spirito, mora  di rovo, gelsi neri. Lo scrigno olfattivo si apre ancora e vira su tracce balsamiche e mentolate che anticipano intriganti aromi di pepe nero, cannella, tabacco, cioccolato fondente e caffè In bocca è suadente: la spalla acida bilancia mirabilmente la vena alcolica; i tannini sono presenti ma ben delineati. Delicatamente sapido, regala una lunga persistenza con ritorni di frutta sotto spirito e spezie.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000002-1,3★-5★,,Gulfi,Nerobufaleffj,Terre Siciliane,,IGT,Sicilia,45-49,na,na,Rosso fermo,Nero d'Avola 100%,14.5,,Ravioli di ricotta e maggiorana con sugo di maiale – Tournedos alla Rossini – Carrè di agnello al forno,24 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000003,4,2013,Fattoria le Mortelle,Maremma Toscana Cabernet Poggio Alle Nane,Maremma Toscana,Cabernet,DOC,Toscana,45-49,90,90,Rosso fermo,Cabernet Franc 80% – Cabernet Sauvignon 20%,14.5,6k,Costolette di agnello farcite di foie gras e tartufo in crosta di mandorle,14 mesi in barrique + 10 mesi in bottiglia,"Rubino impenetrabile dai bagliori giovanili. Naso intrigante e concentrato, in cui si riscontrano amarena sciroppata, liquirizia, china, insieme al mirto della macchia mediterranea, su uno sfondo di note tostate, sigaro, vaniglia, anche cipria. Strutturato e vibrante al palato, nondimeno scorrevole. Ha tannini di ottima estrazione. La chiusura di bocca è balsamica e ricorda un cioccolatino alla menta. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000003,5,2015,Fattoria le Mortelle,Maremma Toscana Cabernet Poggio Alle Nane,Maremma Toscana,Cabernet,DOC,Toscana,50-54,92,92,Rosso fermo,Cabernet Franc 70% – Cabernet Sauvignon 20% – Carmenere 10%,14,18k,Guancia di vitello brasato con polenta,16 mesi in barrique + 10 mesi in bottiglia,"Rubino impenetrabile con riflessi buccia  di melanzana. Il profumo è raffinato e ben scandito: insiste inizialmente su crène de cassis e amarena allo sciroppo; si apre poi a legno di cedro, liquirizia, fiori essiccati, chiodi di garofano, cannella, anice stellato e menta La bocca è voluminosa: i tannini, ben fusi nel complesso gustativo, lasciano emergere un carattere sapido nella chiusura. Ha dinamicità nella progressione; nella lunga persistenza  si esprimono con garbo gli aromi percepiti al naso. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000003,5,2016,Fattoria le Mortelle,Maremma Toscana Cabernet Poggio Alle Nane,Maremma Toscana,Cabernet,DOC,Toscana,50-54,93,93,Rosso fermo,Cabernet Franc 70% – Cabernet Sauvignon 20% – Carmenere 10%,14,17k,Spezzatino di manzo,16 mesi in barrique + 10 mesi in bottiglia,"Rosso rubino impenetrabile con sfumature granato. Una concentrazione raffinata di sciroppo di mirtillo e ribes nero fa strada a  un bouquet composto da menta, cioccolato, vaniglia, anice stellato e tamarindo. Il sorso è potente, ha consistenza vellutata, freschezza e tannini densi e maturi. Si snoda con charme, lasciando una lunga scia speziata dietro di sé.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
