Categoria-1,Ref,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Alcol,Prezzo,Tipologia,Composizione,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002046,,,,,,3,2011,Cantina Menegola,Sforzato Di Valtellina Pergiulio,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,4k,Medaglione di manzo ai finferli,3 mesi di appassimento + 24 mesi in botti di varie dimensioni,"Luminoso rosso rubino trasparente con  bordo granato. Incipit elegante, che spazia dalla prugna alla viola macerata, dai funghi essiccati alla radice di liquirizia, fino al cioccolatino al gianduia. In bocca dimostra un forte tratto giovane; la freschezza croccante  e prorompente affianca un tannino altrettanto evidente seppur garbato. Riposa per 12 mesi in barrique, altri 12 in botti di rovere da 20 ettolitri e infine 24 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002046,,,,,,3,2012,Cantina Menegola,Sforzato Di Valtellina Pergiulio,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,7k,Involtini di manzo ripieni di bitto stagionato,3 mesi di appassimento + 24 mesi in botte grande,"Rosso granato di grande consistenza Emergono riconoscimenti di frutti di bosco macerati, ciliegie sotto spirito e viola appassita, poi pepe nero, liquirizia, cacao, tabacco e  uno sbuffo finale etereo. Al palato mostra un'imponente dotazione alcolica, ingentilita  dal corroborante nerbo fresco e da tannino smussato. Persistenza duratura. Riposa per 12 mesi in botti da 20 ettolitri e per altri 12 in barrique. Affina poi per 2 anni in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002046,,,,,,3,2013,Cantina Menegola,Sforzato Di Valtellina Pergiulio,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,5k,Storico ribelle stagionato,3 mesi di appassimento + 12 mesi in botte grande,"Granato lucente e sottile nel colore, ma consistente all'aspetto. Al naso emergono i frutti di bosco, con la mora di rovo e il ribes nero, la confettura di prugna e l'uva passa, avvolti da sentori di goudron e spezie: chiodi di garofano, macis, cannella e polvere di liquirizia. Intenso e fresco al palato, mostra una trama tannica di peso, ma ben levigata, che insieme alla struttura conferisce equilibrio alla beva; chiude sui toni scuri della liquirizia. Appassimento delle uve sui graticci per 3 mesi, fermentazione in acciaio e passaggio per un anno in botte grande. ",,na,na,na,na,na,Italia,2,,,
,0002046,,,,,,3,2015,Cantina Menegola,Sforzato Di Valtellina Pergiulio,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,15,50-54,Rosso Fermo,Nebbiolo 100%,5k,Cinghiale in dolceforte,3 mesi di appassimento + 24 mesi in botti di varie dimensioni,"Rosso granato pieno e consistente. Accenni di cacao, cuoio e caffè, vaniglia e noce moscata, in un ventaglio aromatico evoluto, dominato da tostature e speziature, con un corollario di mora in confettura, radice di rabarbaro e viola essiccata. Scintillante il sorso, che sorprende con freschezza ancora in evidenza e tannino setoso. La persistenza fruttata conferma  il tratto gustoso della beva. Appassimento sui graticci per 3 mesi; fermenta in acciaio e attende per 2 anni fra botte grande e barrique. ",,na,na,na,na,na,Italia,2,,,
,0002046,,,,,,3,2016,Cantina Menegola,Sforzato Di Valtellina Pergiulio,Sforzato Di Valtellina,,DOCG,Lombardia,88,,88,,na,15,55-59,Rosso Fermo,Nebbiolo 100%,5k,Sella di cervo lardellata,3 mesi di appassimento + 12 mesi in botte,"Manto rosso granato trasparente. Al naso l’intensità cede il passo alla complessità: fiori secchi quali rose e viole, rintocchi speziati, pepe nero e noce moscata, e tostati, tabacco e caffè. Il palato è avvolgente, strutturato, fine, valorizzato nel finale dalla presenza di cacao e radice di genziana",,na,na,na,na,na,Italia,2,,,
,00002046-1,1.69,15,0.27,11,3.0,3★,,Cantina Menegola,Sforzato Di Valtellina Pergiulio,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,55-59,Rosso Fermo,Nebbiolo 100%,4k-7k,Medaglione di manzo ai finferli – Involtini di manzo ripieni di bitto stagionato – Storico ribelle stagionato – Cinghiale in dolceforte – Sella di cervo lardellata,3 mesi di appassimento + 12-24 mesi in botti di varie dimensioni,,,na,na,na,na,na,Italia,1,,,
,0002047,,,,,,4,2015,Mamete Prevostini,Sforzato Di Valtellina Albareda,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,13k,Lepre alla cacciatora con porcini,4 mesi di appassimento + 20 mesi in barrique,"Rubino tenue, luminoso e consistente. Bouquet intenso e ricco; il frutto rosso è variegato e spicca con ciliegia e prugna in confettura,  Non si fanno attendere i fiori, scuri anch'essi, come la violetta, le spezie fresche, la liquirizia in bastoncino, virate vegetali e balsamiche e tostatura di caffè e cacao criollo. Nonostante la giovinezza, il sorso è già equilibrato, avvolgente e appagante. Eccellente corrispondenza e lunga persistenza, che riporta integri i rimandi di frutta e spezie. Appassimento sui graticci per 4 mesi, e altri 20 in rovere. ",,na,na,na,na,na,Italia,2,,,
,0002047,,,,,,4,2016,Mamete Prevostini,Sforzato Di Valtellina Albareda,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,16,40-44,Rosso Fermo,Nebbiolo 100%,11k,Stracotto di cavallo al ginepro,3 mesi di appassimento + 20 mesi in barrique,"Rubino impreziosito da venature granato, di sorprendente intensità. Al naso rimanda a ciliegia sotto spirito e ricordi di erbe aromatiche e di sottobosco, poi una speziatura molto vivace, con echi di cannella, chiodi di garofano e pepe; lo sfondo tostato potenzia il bouquet.  La bocca è slanciata, resa vivace da tannini ben levigati, oltre che dalla mineralità; le essenze balsamiche e mentolate sono l'anima della lunghissima persistenza. Dopo l'appassimento per 3 mesi delle uve, matura per altri 20 in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002047,,,,,,4,2018,Mamete Prevostini,Sforzato Di Valtellina Albareda,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15.5,50-54,Rosso Fermo,Nebbiolo 100%,8k,,3 mesi di appassimento + 10 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,00002047-1,3.00,27,0.53,21,4.0,4★,,Mamete Prevostini,Sforzato Di Valtellina Albareda,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,50-54,Rosso Fermo,Nebbiolo 100%,8k-13k,Lepre alla cacciatora con porcini – Stracotto di cavallo al ginepro,3-4 mesi di appassimento + 10-20 mesi in barrique o botte,,,na,na,na,na,na,Italia,1,,,
