Categoria-1,Ref,OLDVSCORE,RS,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000850,,,,,,5,2014,Bucci,Castelli Di Jesi Verdicchio Riserva Classico Villa Bucci,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,94,,94,,na,Bianco fermo,35-39,Verdicchio 100%,13,13k,Spigola di cattura al forno,18 mesi in botte grande,"Paglierino vivo, dai lampi aurei – ginestra - 80 | tarassaco - 80 | miele - 80 | camomilla - 80 | menta - 60 | foglia di tè - 60 | curry - 50 | cannella - 50 | noce moscata - 50 | tabacco biondo - 40 | susina gialla - 30 | pera - 30 | uva - 30 | mandorla - 20 | cedro - 20 | macchia mediterranea - 10 – Armonico e di accurata manifattura, dispensa finezza ed eleganza, lunga gittata aromatica, vitalità e vibrazioni. Denota espressiva tipicità e lunga prospettiva temporale  In grandi botti di rovere, vecchie di ottant'anni, per 18 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000850,,,,,,5,2015,Bucci,Castelli Di Jesi Verdicchio Riserva Classico Villa Bucci,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,93,,93,,na,Bianco fermo,40-44,Verdicchio 100%,13.5,22k,Timballo di ragù bianco con tartufo,18 mesi in botte grande,"Giallo paglierino luminoso, dagli archetti fitti e lenti – mandorla verde - 80 | acacia - 80 | zagara - 80 | ananas - 70 | erbe aromatiche - 60 | cedro - 50 | vaniglia - 20 – Al palato sfoggia gran corpo e dotazione calorica, supportata da un'adeguata spalla acida. Retrogusto finale lungo e di frutta esotica. Riposa in vecchie botti di rovere di Slavonia per 18 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000850,,,,,,5,2016,Bucci,Castelli Di Jesi Verdicchio Riserva Classico Villa Bucci,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,92,,92,,na,Bianco fermo,35-39,Verdicchio 100%,13.5,25k,Aragosta in graticola,18 mesi in botte grande,"Abito giallo paglierino con arabeschi d'oro zecchino – macchia mediterranea - 80 | salmastro - 70 | ginestra - 70 | felce - 70 | mimosa - 50 | tarassaco - 50 | iodio - 20 – Eleganza e armonia in bocca, fatta  di carezze gliceriche, spinta fresca  e grandiosa, estasiante sapidità Interminabile la persistenza. Riposa per 18 mesi in botti grandi di rovere, vecchie di ottant'anni. ",,na,na,na,na,na,Italia,2,,,
,0000850,,,,,,5,2017,Bucci,Castelli Di Jesi Verdicchio Riserva Classico Villa Bucci,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,92,,92,,na,Bianco fermo,35-39,Verdicchio 100%,13.5,22k,Medaglioni di rana pescatrice con lardo e scaloppa di fegato,18 mesi in botte grande,"Giallo paglierino di sfavillante luminosità – pesca - 90 | ginestra - 90 | mandorla tostata - 80 | vaniglia - 60 | miele - 40 | giglio - 30 | agrumi - 10 | erbe aromatiche - 10 – In bocca stupisce sin dal primo impatto, mostrando un'acidità sferzante e un'avvolgente morbidezza, che rendono irresistibile ogni sorso. La componente sapida ravviva la beva e accompagna il lungo finale costellato da aromi di agrumi  ed erbe aromatiche. Il tempo saprà arricchire ancor di più un vino che già  si distingue per la sua classe. Matura in vecchie botti di rovere di Slavonia per 18 mesi ",,na,na,na,na,na,Italia,2,,,
,0000850,,,,,,5,2018,Bucci,Castelli Di Jesi Verdicchio Riserva Classico Villa Bucci,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,93,,93,,na,Bianco fermo,35-39,Verdicchio 100%,13.5,25k,Rombo chiodato al forno,18 mesi in botte grande,Lucente paglierino – sambuco - 80 | anice - 80 | finocchietto - 80 | zagara - 60 | acacia - 60 | biancospino - 50 | pera - 50 | cedro - 30 – Ottima freschezza supportata da sapidità e calore alcolico che rendono il sorso molto lungo.,,na,na,na,na,na,Italia,2,,,
,0000850-1,14.91,100,2.70,86,5.0,5★,,Bucci,Castelli Di Jesi Verdicchio Riserva Classico Villa Bucci,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,na,,na,,na,Bianco fermo,35-39,Verdicchio 100%,13.5,13k-25k,Spigola di cattura al forno – Timballo di ragù bianco con tartufo – Aragosta in graticola – Medaglioni di rana pescatrice con lardo e scaloppa di fegato – Rombo chiodato al forno,18 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0000851,,,,,,5,2013,Andrea Felici,Castelli Di Jesi Verdicchio Riserva Classico Vigna Il Cantico Della Figura,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,35-39,Verdicchio 100%,13.5,7k,Rotolo di coniglio ai pistacchi,4 mesi in acciaio + 12 in cemento + 24 mesi in bottiglia,"Oro vivo e lucente. Energico e magnetico, sprigiona un ricco bouquet di frutta: cedro, prugna gialla, ananas, kiwi e mandorla, con pennellate agrumate. Seguono crema pasticciera, camomilla e ginestra alternate a rosmarino e finocchio selvatico; infine cenni minerali ghiaiosi. Deciso, sinuoso e intrigante, esprime al palato le sue origini. Solare e generoso, è teso, sapido, quasi affilato, di nerbo. Ha nell'aromaticità della  beva il suo punto di forza e chiude su sfumature di anice che si amalgamano alla perfetta salinità. Matura in cemento per 12 mesi sui lieviti e affina in bottiglia per 24 ",,na,na,na,na,na,Italia,2,,,
,0000851,,,,,,3,2015,Andrea Felici,Castelli Di Jesi Verdicchio Riserva Classico Vigna Il Cantico Della Figura,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,87,,87,,na,Bianco fermo,40-44,Verdicchio 100%,13.5,7k,Calamari ripieni,4 mesi in acciaio + 12 in cemento,"Giallo paglierino luminoso. Profumi  di ginestra, zagara, giuggiola e  pesca bianca stuzzicano l'olfatto, intrecciandosi con ventate di lime e bergamotto. Evidente la presenza di pietra focaia, insieme a un lieve soffio di miele. Deciso e pulito l'ingresso in bocca, sapido e fresco. Personalità e buon equilibrio la fanno da padrone. Elegante chiusura dai toni amaricanti. Riposa in cemento per 12 mesi e per 2 anni affina in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0000851,,,,,,5,2016,Andrea Felici,Castelli Di Jesi Verdicchio Riserva Classico Vigna Il Cantico Della Figura,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,50-54,Verdicchio 100%,13.5,7k,Baccalà al forno con patate e datterini,4 mesi in acciaio + 12 in cemento,"Giallo paglierino con luccicanti riflessi dorati. Al naso regala, in successione, ananas, camomilla, ginestra, zafferano e prugna gialla; una sensazione delicata di cera arricchisce l'esperienza olfattiva. All'assaggio è appagante, avvolgente  e saporito: freschezza e sapidità apportano grande personalità; richiami agrumati accompagnano un finale corroborante, persistente, dal tipico profilo ammandorlato. Si intravede  un futuro ancor più promettente Maturazione in acciaio per 4 mesi, poi in cemento vetrificato per altri 12, sui propri lieviti. ",,na,na,na,na,na,Italia,2,,,
,0000851,,,,,,5,2017,Andrea Felici,Castelli Di Jesi Verdicchio Riserva Classico Vigna Il Cantico Della Figura,Castelli Di Jesi Verdicchio Riserva,Classico,DOCG,Marche,91,,91,,na,Bianco fermo,50-54,Verdicchio 100%,13.5,6k,Tagliata di tonno su crema di zucca e zafferano,4 mesi in acciaio + 12 in cemento,"Giallo paglierino luminoso con intarsi verdolini. Il quadro olfattivo è disegnato da sentori di ginestra, Mimosa e cera d'api; la progressione continua con mandorla, tartufo e zolfo, fra percettibili sbuffi di anice e vaniglia, nespola e melone bianco. Il gusto è deciso e di carattere. Di gran pregio l'intreccio di freschezza e sapidità che stempera una struttura di rilievo. L'equilibrio è perfetto come eccellente è la qualità Impressionante il finale lunghissimo dai ricordi ammandorlati. Fermenta  e matura in acciaio per 4 mesi, poi in cemento vetrificato per altri 12. ",,na,na,na,na,na,Italia,2,,,
