Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Menzioni,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,Nazione,V,Q,Millesimo,Tecnica,Zucchero,Entry
,0001542,,,,,,2012,Riserva,Barbaresco Riserva Cichin,DOCG,Barbaresco,Ada Nada,Piemonte,3,40-44,Nebbiolo 100%,Cinghiale al Barbaresco,86,,86,,na,Rosso fermo,14,2k,36 mesi in botte,"Suggestivo granato. Introduzione mentolata e boschiva, svolgimento fruttato (mora e lampone), picco speziato (pepe, noce moscata), chiusura di viola declinante. Tannico, sviluppa un'ottima performance strutturale e chiude con un tocco amaricante, di china, quasi orientaleggiante. Sosta in botti da 20 ettolitri per 3 anni e poi affina per 16 mesi in bottiglia ",,Italia,,,,,,2
,0001540,,,,,,2015,,Barbaresco Rombone Elisa,DOCG,Barbaresco,Ada Nada,Piemonte,3,25-29,Nebbiolo 100%,Fassone alla brace,86,,86,,na,Rosso fermo,14,4k,20 mesi in botte,"Granato luminoso. Sfavillante di piccoli frutti rossi, declina spezie e florealità nebbiolesche, che attestano un  fulgore tutto giovanile. La bocca non mente: i tannini freddi, tipici di Treiso, rappresentano la spina dorsale di una beva succosa, in fase di interessante evoluzione. Sosta per 20 mesi in botti di rovere. ",,Italia,,,,,,2
,0001540,,,,,,2016,,Barbaresco Rombone Elisa,DOCG,Barbaresco,Ada Nada,Piemonte,3,25-29,Nebbiolo 100%,Filetto in crosta,86,,86,,na,Rosso fermo,14.5,4k,19 mesi in botte,"Granato classico. Squisito esordio  di piccoli frutti rossi, tra il ribes e la fragolina, una base di piacevolezza olfattiva su cui danzano cristallini sentori balsamici e di chiodi di garofano, oltre  a eleganti toni di sottobosco. Che sia giovane lo si capisce dallo sfondo tattile, che imbriglia e trattiene il potenziale fruttato del sorso, ma insieme gli dà gusto, soprattutto nel finale, di ottima sapidità. Riposa per 19 mesi in botti grandi di rovere ",,Italia,,,,,,2
,0001540,,,,,,2017,,Barbaresco Rombone Elisa,DOCG,Barbaresco,Ada Nada,Piemonte,3,25-29,Nebbiolo 100%,Entrecote di angus,86,,86,,na,Rosso fermo,15,4k,24 mesi in botte,"Granato. Naso giovane, di buona espressività: si distinguono sensazioni ferrigne e fragolina, con interludi di menta artica e spezie. Tannini freddi, ancora un po' rigidi, che ancora dominano la potente impalcatura strutturale; lunga scia di piccoli frutti rossi. Giovane, da attendere, perché la materia è ampia e vigorosa. In botti di rovere per 19 mesi ",,Italia,,,,,,2
IN,0001540-1,1.02,6,0.21,10,3.0,,,Barbaresco Rombone Elisa,DOCG,Barbaresco,Ada Nada,Piemonte,3★,25-29,Nebbiolo 100%,Fassone alla brace – Filetto in crosta – Entrecote di angus,na,,na,,na,Rosso fermo,15,4k,19-24 mesi in botte,,,Italia,,,,,,1
,0001542,,,,,,2013,Rombone – Riserva,Barbaresco Rombone Riserva Cichin,DOCG,Barbaresco,Ada Nada,Piemonte,3,45-49,Nebbiolo 100%,Anatra al forno,86,,86,,na,Rosso fermo,14,1k,36 mesi in botte,"Granato pieno. Sedimentazioni progressive e continue di profumi lampone e fragolina, sottobosco e fungo, puntuali intrusioni ferrigne, ginepro e chiodi di garofano, viola che ha iniziato  a sfiorire. La complessità si ritrova in bocca, dove la pur forte rilevanza tattile non nasconde la ricchezza complessiva del sorso. Il tempo è dalla sua. Riposa per 36 mesi in rovere da 20 ettolitri ",,Italia,,,,,,2
,0001542,,,,,,2015,Rombone – Riserva,Barbaresco Rombone Riserva Cichin,DOCG,Barbaresco,Ada Nada,Piemonte,3,45-49,Nebbiolo 100%,Coscia d'anatra arrosto,86,,86,,na,Rosso fermo,14.5,7k,36 mesi in botte,"Granato classico. Sensazioni olfattive evolute di piccoli frutti al maraschino, fioriture, spezie dolci, humus, liquirizia Intrigante in bocca per il dinamico dialogo fra tannini, sensazioni fruttate e finezze amaricanti di erbe officinali. Trascorre 3 anni in botti di rovere da 20 ettolitri ",,Italia,,,,,,2
IN,0001542-1,0.68,4,0.08,4,3.0,,Rombone – Riserva,Barbaresco Rombone Riserva Cichin,DOCG,Barbaresco,Ada Nada,Piemonte,3★,45-49,Nebbiolo 100%,Fassone alla brace – Filetto in crosta – Entrecote di angus – Anatra al forno – Coscia d'anatra arrosto,na,,na,,na,Rosso fermo,14.5,1k-7k,36 mesi in botte,,,Italia,,,,,,1
,0001541,,,,,,2014,Valeirano,Barbaresco Valeirano,DOCG,Barbaresco,Ada Nada,Piemonte,3,20-24,Nebbiolo 100%,Sella di capriolo ai mirtilli rossi,85,,85,,na,Rosso fermo,14,10k,24 mesi in botte,"Granato limpido. Sin dall’esordio invita all'esplorazione: perché piace subito l’eleganza del lampone pestato, seguita da una rarefatta balsamicità, dal dipanarsi della coltre speziata e delle rigorose dolcezze floreali. Un assetto “nordico” ma non severo, confermato dall'ottima qualità dei tannini e dal gustoso finale. Riposa per 20 mesi in botti da 20 ettolitri ",,Italia,,,,,,2
,0001541,,,,,,2015,Valeirano,Barbaresco Valeirano,DOCG,Barbaresco,Ada Nada,Piemonte,3,20-24,Nebbiolo 100%,Guanciale al Nebbiolo,85,,85,,na,Rosso fermo,14,10k,24 mesi in botte,"Granato classico. Vibrazioni d'abetaia, chiodi di garofano, pot-pourri floreale, piccoli frutti rossi: il gran millesimo 2015 si annuncia con uno scintillio olfattivo che non può lasciare indifferenti.  Sorso ricco, vitale, con sorprendente levigatezza tannica, da tannini solidi, com'è proprio del cru, ma lisci e forti come il metallo, di ottima durata. Per 20 mesi in botti da 20 ettolitri ",,Italia,,,,,,2
