Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Menzioni,Anno,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0001543,,,,,,Superiore,2016,Romagna Sangiovese Superiore Calanchi,DOC,Romagna Sangiovese,Agrintesa,Romagna,3,5-9,Sangiovese 100%,86,,86,,na,Rosso fermo,11.5,4k,,12 mesi in botte,,,Italia,2,,,
,0001543-1,0.34,3,0.43,8,3.0,Superiore,,Romagna Sangiovese Superiore Calanchi,DOC,Romagna Sangiovese,Agrintesa,Romagna,3★,5-9,Sangiovese 100%,na,,na,,na,Rosso fermo,11.5,4k,,12 mesi in botte,,,Italia,1,,,
,0001545,,,,,,nd,2015,Romagna Sangiovese Oriolo,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,85,,85,,na,Rosso fermo,14,7k,,15 mesi in acciaio,,,Italia,2,,,
,0001545,,,,,,nd,2016,Romagna Sangiovese Oriolo,DOC,Romagna Sangiovese,Ancarani,Romagna,3,10-14,Sangiovese 100%,86,,86,,na,Rosso fermo,13.5,4k,Fegato alla veneziana,15 mesi in acciaio,"Rosso rubino pieno. Chiaro nell'esprimersi: frutti rossi fragranti,  su un fondo che ricorda la violetta L'assaggio è ricco di ricordi olfattivi; il tannino è vigoroso e ben distribuito;  il sostegno dell'acidità assicura un finale dinamico e persistente, del tutto proporzionato. Matura in acciaio per 15 mesi e affina per 3 in bottiglia ",,Italia,2,,,
,0001545-1,0.68,6,0.50,9,3.0,nd,,Romagna Sangiovese Oriolo,DOC,Romagna Sangiovese,Ancarani,Romagna,3★,10-14,Sangiovese 100%,na,,na,,na,Rosso fermo,13.5,4k-7k,Fegato alla veneziana,15 mesi in acciaio,,,Italia,1,,,
,0001544,,,,,,Superiore,2014,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,85,,85,,na,Rosso fermo,13.5,10k,,10 mesi in cemento,,,Italia,2,,,
,0001544,,,,,,Superiore,2015,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,85,,85,,na,Rosso fermo,12.5,7k,,10 mesi in cemento,,,Italia,2,,,
,0001544,,,,,,Superiore,2016,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,5-9,Sangiovese 100%,86,,86,,na,Rosso fermo,13.5,7k,,10 mesi in cemento,,,Italia,2,,,
,0001544,,,,,,Superiore,2017,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,2,10-14,Sangiovese 100%,84,,84,,na,Rosso fermo,13.5,7k,,10 mesi in cemento,,,Italia,2,,,
,0001544,,,,,,Superiore,2018,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,10-14,Sangiovese 100%,86,,86,,na,Rosso fermo,13.5,7k,Tagliatelle al ragù di salsiccia,10 mesi in cemento,"l Rubino dai riflessi luminosi e granato. Incipit fruttato, con rimandi alle ciliegie e alle prugne, insieme a toni più profondi di viole essiccate e liquirizia. Struttura dinamica, dal sorso gradevolmente fresco, con tannini ben integrati. Finale persistente su sensazioni floreali e speziate. Matura per 10 mesi in cemento ",,Italia,2,,,
,0001544,,,,,,Superiore,2019,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,3,10-14,Sangiovese 100%,86,,86,,na,Rosso fermo,12.5,7k,,2 mesi in acciaio,,,Italia,2,,,
,0001544-1,1.81,16,1.34,23,2.8,Superiore,,Romagna Sangiovese Superiore Biagio Antico,DOC,Romagna Sangiovese,Ancarani,Romagna,2★-3★,10-14,Sangiovese 100%,na,,na,,na,Rosso fermo,12.5,7k-10k,Tagliatelle al ragù di salsiccia,2-10 mesi in acciaio o cemento,,,Italia,1,,,
,0001546,,,,,,Modigliana – Riserva,2013,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,4,10-14,Sangiovese 100%,89,,89,,na,Rosso fermo,13,8k,Spalla di agnello al forno,6 mesi in acciaio + 18 mesi in botte,"Rosso rubino luminoso. Vino dall'ampio bouquet con profumi articolati e complessi di frutti di bosco, caffè appena tostato, pepe bianco e bastoncino di liquirizia, seguiti da note vegetali e minerali. All'assaggio è un vero modello di estrazione calibrata, con tannini eleganti e profondi, già perfettamente integrati. Dinamico e coinvolgente, presenta un finale fruttato di rinfrescante impronta. Fermenta in acciaio, riposa in botticelle da 350 litri di 2° e 3° passaggio per 16 mesi, e affina per altri 8 in bottiglia ",,Italia,2,,,
,0001546,,,,,,Modigliana – Riserva,2014,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,85,,85,,na,Rosso fermo,13,6k,Stinco al forno con ananas e porri,6 mesi in acciaio + 18 mesi in botte,"Rubino intenso dalla luminosità vivace. Elegante complessità aromatica di frutti di bosco, marasche, rose, eucalipto  e grafite. Ingresso al palato fresco e dinamico, dote che esalta l’espressione del frutto, in sinergia con un tannino svolto e ben integrato. Finale armonico, di lunga persistenza e dal finale balsamico. Fermentazione spontanea, maturazione in acciaio per 6 mesi e in legno per 18 mesi, affina poi in bottiglia per 4 mesi ",,Italia,2,,,
,0001546,,,,,,Modigliana – Riserva,2015,Romagna Sangiovese Modigliana Riserva Redinoce,DOC,Romagna Sangiovese,Balia Di Zola,Romagna,3,15-19,Sangiovese 100%,85,,85,,na,Rosso fermo,13,8k,Stufato di manzo,24 mesi in botte,"Rosso rubino luminoso e profondo. Profuma di frutti rossi, scorza di arancia candita, speziature e una gradevole terrosità. L’assaggio si rivela subito morbido, bilanciato da sensazioni fresche e sapide, integrate da un tannino di ottima qualità. Persistenza agrumata coadiuvata da un retrogusto piccante. Fermenta in acciaio, poi matura in botte per 24 mesi e affina per altri 12 in bottialia ",,Italia,2,,,
