Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,Menzioni,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000812,,,,,,2011,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,2,30-34,Sangiovese 100%,Pici al ragù di anatra,,84,,84,,na,Rosso fermo,15,18k,12 mesi in acciaio + 30 mesi in botte,"Vivace rubino con riflessi granato. Al naso iris, prugna, ciliegia sotto spirito, caffè e cacao. Gusto centrato sulla freschezza, sostenuta dalla dotazione calorica; discreta lunghezza con frutti scuri sul finale. Sosta 12 mesi in acciaio e 30 mesi in botti grandi, poi altri 6 in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0000812,,,,,,2012,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,30-34,Sangiovese 100%,Pernice alla cacciatora,,85,,85,,na,Rosso fermo,14.5,16k,12 mesi in acciaio + 30 mesi in botte,"Colore rubino vivace. Apre al naso con aromi di marasca, note di cioccolato, resina di pino e cuoio, seguiti da burro di cacao, caffè, bacche di ginepro e muschio. L'attacco tannico è graffiante e la sapidità è ben evidente, con una discreta persistenza che conduce a una chiusura di bocca fruttata e balsamica. Matura per 12 mesi in acciaio e per  30 mesi in legno, prosegue il suo affinamento in bottiglia per altri 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0000812,,,,,,2013,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,30-34,Sangiovese 100%,Terrina di fagiano,,86,,86,,na,Rosso fermo,14,14k,12 mesi in acciaio + 30 mesi in botte,"Abito rubino tendente al granato. Ammalia l'olfatto con sentori di ciliegia sotto spirito, rosa rossa, eucalipto, alloro, tabacco, pepe nero e noce moscata. L'assaggio è caldo e avvolgente, permeato da generosa acidità. Lungo finale speziato. In acciaio per 12 mesi, in botti grandi per 30 mesi e ad affinare in bottiglia per 6 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000812,,,,,,2014,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,30-34,Sangiovese 100%,Melanzane alla parmigiana,,86,,86,,na,Rosso fermo,14,16k,12 mesi in acciaio + 30 mesi in botte,"Rubino trasparente con tenui accenni granato. Decisi richiami olfattivi di sottobosco e arancia sanguinella, seguit da rimandi di bacca di ginepro, china e chicco di caffè. Il sorso mostra integrità di frutto e un gradevole sentore di radice di liquirizia. Il tannino è elegante e ben integrato, appagante la spiccata freschezza. Persistenza dai ritorni citrini sul finale. Sosta in acciaio per 12 mesi, poi in botti per 30 mesi ",,na,na,na,na,na,Italia,2,,,
,0000812-1,1.13,8,0.24,7,2.8,,Brunello,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,2★-3★,30-34,Sangiovese 100%,Pici al ragù di anatra – Pernice alla cacciatora – Terrina di fagiano – Melanzane alla parmigiana,,na,,na,,na,Rosso fermo,14,14k-18k,12 mesi in acciaio + 30 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000810,,,,,,2010,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,4,45-49,Sangiovese 100%,Tagliere di pecorini stagionati,Riserva,89,,89,,na,Rosso fermo,15,9k,12 mesi in acciaio + 30 mesi in botte + 12 mesi in bottiglia,"Colore granato di buona trasparenza. Profumo intenso che evidenzia una successione di confettura di ribes, crème de cassis, amarena, pot-pourri di fiori rossi, tabacco dolce, lavanda, scorza di arancia e cipria. L'ingresso risulta caldo e avvolgente, di fattura elegante,; il sorso è pieno e lascia un retrogusto che richiama il cioccolato fondente. Il tannino è ben integrato, succoso e contribuisce a rendere il vino persistente. Riposa per 12 mesi in acciaio e per altri 40 in botti grandi di rovere di Slavonia, per poi affinare un anno in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000810,,,,,,2012,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,55-59,Sangiovese 100%,Cervo in umido,Riserva,86,,86,,na,Rosso fermo,15,6k,12 mesi in acciaio + 30 mesi in botte + 12 mesi in bottiglia,"Tonalità rubino con accenni granato  sul bordo. Aromi di lampone, ribes, iris ed elicriso si fondono con ricordi di cioccolato, grafite, scorza di arancia, pepe verde e curcuma. Ingresso tonico, con tannini integrati: lascia un retrogusto di frutti di bosco. Riposa in acciaio per 12 mesi, in botti grandi per 30 mesi e affina in bottiglia per 6 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000810,,,,,,2013,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,5,55-59,Sangiovese 100%,Brasato di manzo,Riserva,91,,91,,na,Rosso fermo,14,4k,12 mesi in acciaio + 30 mesi in botte + 12 mesi in bottiglia,"Luminoso abito rubino chiaro che  vira al granato. Profumi variegati di rara eleganza: spiccano ciliegia e mora di gelso, cui fanno eco sentori di tabacco, cipria, noce moscata, pasta di olive, cardamomo, legno di sandalo e rabarbaro. Il gusto è intenso, con iniziali aromi di frutta a bacca nera; piacevole freschezza spalleggiata da un tannino di nobile fattura. Finale di notevole persistenza, dove si rincorrono sfumature di humus, arancia rossa e note tostate. Matura in acciaio per 12 mesi e in botti per 30 mesi, affina in bottiglia per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000810-1,4.32,29,0.51,15,4.0,,Brunello Riserva,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3★-5★,55-59,Sangiovese 100%,Tagliere di pecorini stagionati – Cervo in umido – Brasato di manzo,Riserva,na,,na,,na,Rosso fermo,14,4k-9k,12 mesi in acciaio + 30 mesi in botte + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000811,,,,,,2011,Brunello Vigna Piaggia,DOCG,Brunello Di Montalcino,Abbadia Ardegna,Toscana,3,35-59,Sangiovese 100%,Petto di fagiano lardellato,,86,,86,,na,Rosso fermo,14.5,7k,12 mesi in acciaio + 30 mesi in botte + 12 mesi in bottiglia,"Veste rubino chiaro con riflessi granato. Note eleganti e nitide di rosa, violetta, marasca e mora di gelso; seguono ricordi di incenso, cuoio, alloro, ginepro, sentori mentolati e di eucalipto. Ingresso potente, con un tannino perfetto a far da protagonista. La lunga chiusura è caratterizzata da cenni di mora ed erbette aromatiche. Matura per 12 mesi in acciaio e altri 30 mesi in botti grandi, termina il percorso con un affinamento di 12 mesi in bottiglia ",,na,na,na,na,na,Italia,2,,,
